model,run,subset_size,mse,r2_adj,alpha_e,alpha_a,alpha_b,omega1,omega2,omega3,omega4,gamma
aiconf,1,100,0.04861287437424666,0.25249543426553867,0.26949660775302714,0.5386072077244725,0.012644435114859982,0.8622858429700391,0.23990548790609045,1.2415403122663658e-23,0.543416363522614,0.3380386202193608
selfconf,1,100,0.04501638512483387,0.22228752807260488,0.284434539019565,0.5315675054958396,1.391668341327124e-13,0.573616896076007,0.8283519761953185,0.23840959298374098,0.28632938120063295,0.11471309552731024
