iteration,Model,C_AI_MSE,C_AI_R2,C_AI_adj_R2,C_self_MSE,C_self_R2,C_self_adj_R2,Mean_MSE,Mean_R2,Mean_adj_R2,AI_alpha_e,AI_alpha_a,AI_alpha_b,AI_omega1,AI_omega2,AI_omega3,AI_omega4,AI_gamma,self_alpha_e,self_alpha_a,self_alpha_b,self_omega1,self_omega2,self_omega3,self_omega4,self_gamma,AI_alpha_fast,AI_alpha_slow,AI_gamma_res,self_alpha_fast,self_alpha_slow,self_gamma_res
1,BASELINE-OG,0.001748298284649894,0.7724159007512525,0.755099719286674,0.0008022049516736178,0.7680953314107886,0.7504504109746528,0.001275251618161756,0.7702556160810206,0.7527750651306634,0.3195708828452211,0.38388885208688445,0.006105894035800706,0.8931310048825674,0.23940846141811117,0.13212086672847545,0.2779239409144528,0.30937680728364364,0.268628673971652,0.2746096765815354,0.10015232671720979,0.6242187099306636,0.8956342600995111,0.18778196013748183,0.17709085475997693,0.37962089016002376,,,,,,
1,PHYS-FULL-NO-MOD-NO-ALIGN,0.0017274395095283309,0.7751311842867642,0.7580216004824962,0.0007454488812350362,0.7845026069804863,0.7681060662072625,0.0012364441953816837,0.7798168956336253,0.7630638333448794,,0.10428547173139387,,0.8932632716990925,0.24050282963419906,0.1320473910893308,0.2786683235885921,,,0.024568922450087356,,0.3511924494125825,0.4836762646412315,0.12394651359580358,0.12800189333404294,,0.3198905483497634,0.572436063800232,1e-10,0.5025192432374859,0.2342336575669874,0.1
1,PHYS-FULL+MOD,0.0014880618290043504,0.8062920875952143,0.7915534420861545,0.0006894910294227866,0.8006791302647301,0.7855134119153075,0.0010887764292135684,0.8034856089299722,0.788533427000731,,0.09339806516280454,,0.9797472863504757,0.19578230218216627,0.07162595843823379,0.3204690962963066,,,0.027347098436354664,,0.3291097910644004,0.5028720312580875,0.13437118061808984,0.10418362577600729,,0.31631396170417836,0.5298223141653978,1e-10,0.4772353499384105,0.23139693991045418,0.1
1,PHYS-FULL+ALIGN,0.0017260377916042862,0.7753136524124526,0.7582179520525306,0.0006823646681400873,0.802739247754735,0.7877302774752041,0.0012042012298721866,0.7890264500835938,0.7729741147638673,,0.10433109757793738,,0.8937643884111012,0.24055131506860797,0.1315994212210974,0.2785632098203635,,,0.025252694218134395,,0.3212183442093938,0.46029725357524964,0.13374350866663443,0.133578125896916,,0.31957105732877905,0.5747129560156699,3.9304595566503397e-25,0.5581583665097711,0.2626682126066423,0.47136820468810753
1,PHYS-FULL-DETAILED,0.0014880698010250996,0.8062910498402858,0.7915523253716119,0.0005901940032547499,0.8293843182560923,0.8164026902973167,0.0010391319021399248,0.817837684048189,0.8039775078344643,,0.09340410699116836,,0.9797174747538023,0.19578484277096758,0.07166285797398672,0.3204642112384596,,,0.028295115891903474,,0.2940131101638179,0.47585672961953585,0.1442965505187741,0.11133798919502264,,0.31632905917502613,0.5298552501616507,2.5078070853537165e-33,0.5364405670964573,0.26326754479479925,0.5879281953431764
2,BASELINE-OG,0.0020383128919033906,0.7389487459347681,0.7190861505167614,0.0009896150651970339,0.7286854625033954,0.7080419650851755,0.0015139639785502123,0.7338171042190818,0.7135640578009684,0.38613156249216674,0.312807903007304,0.0646034824819348,0.7942474479770184,0.22533332380791005,0.15760662881161533,0.29742845191374717,0.3968469190857786,0.2937132536564088,0.2724592170116247,0.10704028508046141,0.6258681103552953,0.8803953245660654,0.19797236011837907,0.22075337303256137,0.28862350477929666,,,,,,
2,PHYS-FULL-NO-MOD-NO-ALIGN,0.001972517078573534,0.7473753617159997,0.7281539218465649,0.0008346499218199169,0.7711709679105776,0.753760063295078,0.0014035835001967255,0.7592731648132887,0.7409569925708215,,0.07084472967519419,,0.7942708214114821,0.22944796379157112,0.152751607681597,0.30153489239151654,,,0.025510200160953057,,0.34430012337002674,0.46111241574646733,0.13338089253695048,0.1485679290583147,,0.3868545095441425,0.38220193354898396,1e-10,0.5905883978765719,0.2856176577567296,0.1
2,PHYS-FULL+MOD,0.0013224181191546706,0.8306349776939573,0.8177485086054541,0.0007195640303243165,0.8027231102754439,0.7877129121442277,0.0010209910747394936,0.8166790439847006,0.8027307103748409,,0.07090301757028619,,0.8953439081830473,0.15693280607743684,0.1396602654979592,0.30876438069117385,,,0.0262583693795989,,0.3296740013288001,0.44369910599497636,0.15317561821801834,0.13212599556142793,,0.38005610949669516,0.35570358875482333,1e-10,0.6154489698309479,0.3047718436565951,0.1
2,PHYS-FULL+ALIGN,0.0019400799338733278,0.7515296587995927,0.7326243067517356,0.0006424128309633233,0.8238750133821013,0.8104741991829134,0.0012912463824183255,0.787702336090847,0.7715492529673245,,0.07116611758382886,,0.7863796672991619,0.22817482628411845,0.15454230455580192,0.301203368957186,,,0.02579738695219404,,0.31420371051999063,0.43701427185021574,0.14398381627248066,0.15297137514100909,,0.38855803981757153,0.38723300497803714,0.06553953093370905,0.665267852467684,0.32466937614822794,0.4551619582425863
2,PHYS-FULL-DETAILED,0.0013229930648746809,0.830561343120078,0.8176692714009535,0.0005041006738934227,0.8617949079404025,0.851279303109781,0.0009135468693840518,0.8461781255302403,0.8344742872553672,,0.07079196779472811,,0.8953377173606513,0.15688506247031878,0.13966553222525163,0.30874050444691625,,,0.026832276628844232,,0.29744003467382674,0.4243464277247926,0.15997854092755864,0.13714550191845026,,0.38002557523273145,0.35497281627533045,3.803803345835691e-32,0.684521335362125,0.34263637972480515,0.5027502249753908
