rate,numerator,denominator,percent,ci_low_percent,ci_high_percent
aligned_accept_rate,123,131,93.89312977099236,88.41196490252834,96.87337760694541
nonaligned_accept_rate,1031,2869,35.93586615545486,34.20002929619858,37.709315108373104
aligned_modify_rate,8,131,6.106870229007634,3.1266223930545847,11.588035097471655
nonaligned_modify_rate,613,2869,21.366329731613803,19.90526720774079,22.90396805460279
aligned_reject_rate,0,131,0.0,0.0,2.848870706599458
nonaligned_reject_rate,1225,2869,42.69780411293134,40.89878315942303,44.51635352646983
