alignment_status,action,positive,total,positive_percent,ci_low_percent,ci_high_percent
Aligned,Accept,93,123,75.60975609756098,67.32067670872401,82.3476262150528
Aligned,Modify,1,8,12.5,2.241749145005667,47.08881822128535
Aligned,Reject,0,0,,,
Non-aligned,Accept,534,1031,51.79437439379243,48.743308793048016,54.83211811748233
Non-aligned,Modify,212,613,34.58401305057096,30.925251307938673,38.43478484116537
Non-aligned,Reject,348,1225,28.408163265306122,25.9532896508479,30.99803257198176
