Model,C_AI_MSE,C_AI_R2,C_AI_adj_R2,C_self_MSE,C_self_R2,C_self_adj_R2,Mean_MSE,Mean_R2,Mean_adj_R2
ORIG-BASE,0.0016637354708142573,0.76395939668404,0.7459997855621735,0.0007559849572608292,0.7678109547924509,0.75014439700492,0.0012098602140375432,0.7658851757382454,0.7480720912835468
PHYS-BASE,0.0016637354708142573,0.76395939668404,0.7459997855621735,0.0007559849572608292,0.7678109547924509,0.75014439700492,0.0012098602140375432,0.7658851757382454,0.7480720912835468
MOD,0.001134223072280939,0.8390833741465841,0.8268397178316503,0.0006907283414865045,0.787853511412911,0.7717119307595456,0.0009124757068837217,0.8134684427797476,0.799275824295598
MOD+A,0.0011342286824448475,0.8390825782108738,0.8268388613356142,0.0006907393573971078,0.7878501280469585,0.7717082899635749,0.0009124840199209777,0.8134663531289161,0.7992735756495946
MOD+A+ASYM,0.0011342286824448475,0.8390825782108738,0.8268388613356142,0.0006302309544549196,0.8064343447978919,0.7917065232064271,0.0008822298184498836,0.8227584615043828,0.8092726922710207
MOD+A+ALIGN,0.0011342563620611106,0.8390786511963713,0.8268346355265299,0.0004723442844748281,0.8549267847619169,0.843888605341628,0.0008033003232679693,0.8470027179791441,0.835361620434079
PHYS-FULL,0.0011342563620611106,0.8390786511963713,0.8268346355265299,0.00042995251737675184,0.8679467580201509,0.8578992287390754,0.0007821044397189312,0.8535127046082611,0.8423669321328027
