Model,C_AI_MSE_mean,C_AI_MSE_std,C_AI_adj_R2_mean,C_AI_adj_R2_std,C_self_MSE_mean,C_self_MSE_std,C_self_adj_R2_mean,C_self_adj_R2_std,Mean_MSE_mean,Mean_MSE_std,Mean_adj_R2_mean,Mean_adj_R2_std
ORIG-BASE,0.0017997223495235595,0.00019658118789814806,0.7309064158807443,0.026619410933311508,0.0009036451295303873,0.00014193445955445046,0.7107066189147084,0.04509446768735384,0.001351683739526973,0.00012014910897204783,0.7208065173977264,0.02743042161996241
PHYS-BASE,0.0017997223495235595,0.00019658118789814806,0.7309064158807443,0.026619410933311508,0.0009036451295303873,0.00014193445955445046,0.7107066189147084,0.04509446768735384,0.001351683739526973,0.00012014910897204783,0.7208065173977264,0.02743042161996241
MOD,0.0012994556457741255,0.000166469637015446,0.8055179755250851,0.024627710221987946,0.0008403024452601351,0.0001402212981327814,0.7308880030678923,0.044952810056520874,0.0010698790455171304,0.00010923460163928862,0.7682029892964887,0.026759702708090582
MOD+A,0.0012994670022886728,0.00016646780148735392,0.8055162312488746,0.0246279097445203,0.0008402936659551475,0.00014022168665018056,0.730890818599389,0.04495295112820182,0.00106988033412191,0.00010923253367533811,0.7682035249241315,0.02675966907109926
MOD+A+ASYM,0.0012994670022886728,0.00016646780148735392,0.8055162312488746,0.0246279097445203,0.0007833267480613741,0.00012225334119054937,0.7483000490364907,0.04441131035446182,0.0010413968751750234,0.00010929004788140069,0.7769081401426827,0.027714300887039266
MOD+A+ALIGN,0.0012993285905593694,0.0001665288595405224,0.8055379647159622,0.024629234672260508,0.000623132838016749,0.00011157649995452231,0.800333075183288,0.03664642079369274,0.0009612307142880591,0.00010228665860599367,0.8029355199496249,0.023584696674284686
PHYS-FULL,0.0012993285905593694,0.0001665288595405224,0.8055379647159622,0.024629234672260508,0.0005835114632348926,0.00010386005314776292,0.8120127808153491,0.039746899918335986,0.0009414200268971312,0.0001061638636570142,0.8087753727656555,0.026092343815482078
