participant,condition,condition_row,available_detailed_trials
1,1,0,30
3,1,1,30
5,1,2,30
13,1,6,30
27,1,13,30
49,1,24,30
75,1,37,30
77,1,38,30
2,2,0,29
4,2,1,29
6,2,2,29
16,2,7,29
24,2,11,27
32,2,15,29
34,2,16,29
36,2,17,29
50,2,24,29
52,2,25,29
78,2,38,29
88,2,43,29
