Model,C_AI_MSE,C_AI_R2,C_AI_adj_R2,C_self_MSE,C_self_R2,C_self_adj_R2,Mean_MSE,Mean_R2,Mean_adj_R2
BASELINE-OG,0.0016637354708142573,0.76395939668404,0.7459997855621735,0.0007559849572608292,0.7678109547924509,0.75014439700492,0.0012098602140375432,0.7658851757382454,0.7480720912835468
PHYS-FULL-NO-MOD-NO-ALIGN,0.0015457461451346259,0.7806989998882881,0.7640130542276143,0.0006626352705395539,0.7964818620930025,0.7809967863826875,0.0011041907078370898,0.7885904309906453,0.7725049203051509
PHYS-FULL+MOD,0.0011369166388010305,0.8387012274185571,0.8264284947221431,0.0006294841347565743,0.8066637188760868,0.7919533496601369,0.0008832003867788023,0.8226824731473219,0.80919092219114
PHYS-FULL+ALIGN,0.001535312474395861,0.7821792652184326,0.7656059484415743,0.000517822163080196,0.840958960256909,0.8288580115808042,0.0010265673187380285,0.8115691127376707,0.7972319800111892
PHYS-FULL-DETAILED,0.0011342563620611106,0.8390786511963713,0.8268346355265299,0.00042995251737675184,0.8679467580201509,0.8578992287390754,0.0007821044397189312,0.8535127046082611,0.8423669321328027
