Model,C_AI_MSE,C_AI_R2,C_AI_adj_R2,C_self_MSE,C_self_R2,C_self_adj_R2,Mean_MSE,Mean_R2,Mean_adj_R2
BASELINE-OG,0.003971338872475578,0.28809437769912616,0.23392764556753798,0.003773571317701929,0.14196200620793675,0.07667650668027981,0.0038724550950887536,0.21502819195353146,0.1553020761239089
PHYS-FULL-DETAILED-20,0.0036113434329481655,0.3526274698455746,0.30337086429034665,0.004749860638527706,-0.08002752563748605,-0.16220353302294677,0.0041806020357379355,0.13629997210404426,0.07058366563369994
