Model,C_AI_MSE,C_AI_R2,C_AI_adj_R2,C_self_MSE,C_self_R2,C_self_adj_R2,Mean_MSE,Mean_R2,Mean_adj_R2
BASELINE-OG,0.001663791886363793,0.7639513927912442,0.7459911726775346,0.0007559633913831375,0.7678175784170378,0.7501515246009429,0.0012098776388734652,0.765884485604141,0.7480713486392387
PHYS-FULL-NO-MOD-NO-ALIGN,0.0015457461451346259,0.7806989998882881,0.7640130542276143,0.0006626352705395539,0.7964818620930025,0.7809967863826875,0.0011041907078370898,0.7885904309906453,0.7725049203051509
PHYS-FULL+MOD,0.0011273132629071167,0.8400636955991267,0.8278946289599298,0.0006298533644902861,0.8065503156945693,0.7918313179756777,0.0008785833136987014,0.823307005646848,0.8098629734678038
PHYS-FULL+ALIGN,0.0015365199447714866,0.782007956713596,0.7654216055939783,0.0005242578182161482,0.8389823486762816,0.8267310056407813,0.0010303888814938173,0.8104951526949389,0.7960763056173799
PHYS-FULL-DETAILED,0.0011251152095250827,0.8403755419566261,0.8282302027576738,0.00043693502494846474,0.8658021892021351,0.8555914862066455,0.0007810251172367738,0.8530888655793807,0.8419108444821597
