Model,track,success,nfev,alpha_e,alpha_a,alpha_b,omega1,omega2,omega3,omega4,gamma,alpha_fast,alpha_slow,gamma_res
BASELINE-OG,aiconf,True,15,0.12352619755202389,0.6334987829095834,3.890795378679848e-20,0.9999999999999999,0.9999999999999999,5.470253065764126e-10,0.11413184054538608,0.5612556440335893,,,
BASELINE-OG,selfconf,True,16,0.17341494582078507,0.9025079863789901,6.974363724348008e-30,0.8956995782090317,0.656430282028879,0.1176946625378104,0.2617703816021434,0.5601951600576054,,,
PHYS-FULL-DETAILED-20,aiconf,True,17,,0.07743849298659651,,0.9999999999998258,0.6602119450187226,5.537969686739397e-10,0.27019579335127114,,0.16203918202328052,0.6552851460604722,7.291589539523794e-08
PHYS-FULL-DETAILED-20,selfconf,True,36,,0.12759528015978744,,0.6568672071175115,0.825293123594945,0.1110246813164203,0.11911861710547766,,0.12076011584189704,0.025254487638743724,0.5609351320877497
