Model,C_AI_MSE,C_AI_R2,C_AI_adj_R2,C_self_MSE,C_self_R2,C_self_adj_R2,Mean_MSE,Mean_R2,Mean_adj_R2,iteration
MOD+A+ALIGN,0.0012898284632994915,0.7975264674400586,0.7821208725713674,0.0006290470772685355,0.819898168190785,0.8061947679444317,0.0009594377702840135,0.8087123178154219,0.7941578202578996,5
PHYS-FULL,0.0012898284632994915,0.7975264674400586,0.7821208725713674,0.000497733225187313,0.8574945042304428,0.8466516947697157,0.0008937808442434022,0.8275104858352507,0.8143862836705416,5
ORIG-BASE,0.001810145110736358,0.7910371629491985,0.7751378166518549,0.0011034048204680335,0.7031891016720743,0.6806056637558191,0.0014567749656021957,0.7471131323106364,0.727871740203837,6
PHYS-BASE,0.001810145110736358,0.7910371629491985,0.7751378166518549,0.0011034048204680335,0.7031891016720743,0.6806056637558191,0.0014567749656021957,0.7471131323106364,0.727871740203837,6
MOD,0.0012739633622669297,0.8529338908250388,0.8417440781704222,0.0010911348792484483,0.706489660277819,0.6841573518206966,0.001182549120757689,0.7797117755514289,0.7629507149955594,6
MOD+A,0.0012739706127258023,0.8529330538333263,0.8417431774945576,0.0010911079243803889,0.7064969110152225,0.6841651542446416,0.0011825392685530956,0.7797149824242744,0.7629541658695996,6
MOD+A+ASYM,0.0012739706127258023,0.8529330538333263,0.8417431774945576,0.0010213577308404765,0.7252593971119813,0.7043552208052842,0.0011476641717831394,0.7890962254726538,0.7730491991499209,6
MOD+A+ALIGN,0.001273967963445181,0.8529333596658208,0.841743506596916,0.0007983349916922771,0.7852515036591081,0.7689119441549099,0.001036151477568729,0.8190924316624645,0.805327725375913,6
PHYS-FULL,0.001273967963445181,0.8529333596658208,0.841743506596916,0.0007381204275525489,0.8014489486432222,0.7863418034312936,0.001006044195498865,0.8271911541545216,0.8140426550141048,6
ORIG-BASE,0.0016362783883152494,0.7702727240959657,0.7527934748423979,0.0006992168493975307,0.7776158000867023,0.7606952631367775,0.00116774761885639,0.7739442620913339,0.7567443689895876,7
PHYS-BASE,0.0016362783883152494,0.7702727240959657,0.7527934748423979,0.0006992168493975307,0.7776158000867023,0.7606952631367775,0.00116774761885639,0.7739442620913339,0.7567443689895876,7
MOD,0.0010882310066712326,0.8472164965924354,0.835591664811425,0.0006552331524472003,0.7916047067670205,0.7757485431514678,0.0008717320795592165,0.819410601679728,0.8056701039814465,7
MOD+A,0.001088302462528551,0.8472064644612489,0.8355808693659093,0.0006552344914663441,0.7916042808952739,0.775748084876436,0.0008717684769974476,0.8194053726782614,0.8056644771211726,7
MOD+A+ASYM,0.001088302462528551,0.8472064644612489,0.8355808693659093,0.0006519973883762893,0.7926338335745878,0.7768559730856978,0.0008701499254524202,0.8199201490179184,0.8062184212258034,7
MOD+A+ALIGN,0.001088319411597147,0.8472040848763412,0.8355783087256281,0.00041471433457260064,0.8681011254720643,0.8580653415405909,0.0007515168730848737,0.8576526051742028,0.8468218251331094,7
PHYS-FULL,0.001088319411597147,0.8472040848763412,0.8355783087256281,0.0004497968330025466,0.8569432230973928,0.846058468333064,0.0007690581222998468,0.852073653986867,0.8408183885293461,7
ORIG-BASE,0.001619811497198226,0.790959870637295,0.7750546434031762,0.0009943541130103145,0.7059003862236417,0.6835232416971797,0.0013070828051042704,0.7484301284304684,0.729288942550178,8
PHYS-BASE,0.001619811497198226,0.790959870637295,0.7750546434031762,0.0009943541130103145,0.7059003862236417,0.6835232416971797,0.0013070828051042704,0.7484301284304684,0.729288942550178,8
MOD,0.0011735836714712115,0.8485465235142244,0.837022889433785,0.0008963727785134879,0.7348802760393234,0.714708123129272,0.0010349782249923496,0.7917133997767739,0.7758655062815285,8
MOD+A,0.0011735818684351618,0.8485467561998732,0.8370231398237766,0.0008963720314273989,0.7348804970045987,0.7147083609071225,0.0010349769499312803,0.791713626602236,0.7758657503654496,8
MOD+A+ASYM,0.0011735818684351618,0.8485467561998732,0.8370231398237766,0.0008390914216036692,0.751822354040854,0.7329392722830929,0.0010063366450194155,0.8001845551203636,0.7849812060534347,8
MOD+A+ALIGN,0.0011735840241728043,0.8485464779973315,0.8370228404536502,0.0007323722281828178,0.7833866359771738,0.7669051843667415,0.000952978126177811,0.8159665569872527,0.8019640124101959,8
PHYS-FULL,0.0011735840241728043,0.8485464779973315,0.8370228404536502,0.000679614385658635,0.7989907964136029,0.7836966178798553,0.0009265992049157195,0.8237686372054672,0.8103597291667528,8
ORIG-BASE,0.001731083663469375,0.7441264119125681,0.7246577693406984,0.0010609073516821693,0.7053141719078788,0.6828924241182609,0.0013959955075757721,0.7247202919102235,0.7037750967294796,9
PHYS-BASE,0.001731083663469375,0.7441264119125681,0.7246577693406984,0.0010609073516821693,0.7053141719078788,0.6828924241182609,0.0013959955075757721,0.7247202919102235,0.7037750967294796,9
MOD,0.001336019216331008,0.8025213697925804,0.7874958218420159,0.0010022720257917065,0.7216011733487538,0.7004186539296373,0.0011691456210613572,0.7620612715706672,0.7439572378858266,9
MOD+A,0.0013360147279990959,0.8025220332183958,0.7874965357458824,0.0010022206942930584,0.7216154315826725,0.7004339970291802,0.0011691177111460773,0.7620687324005342,0.7439652663875314,9
MOD+A+ASYM,0.0013360147279990959,0.8025220332183958,0.7874965357458824,0.0009225663650342718,0.743740833901291,0.7242428538720413,0.0011292905465166837,0.7731314335598434,0.7558696948089618,9
MOD+A+ALIGN,0.0013360135106452813,0.8025222131569482,0.7874967293754116,0.0007398128645325832,0.7945038591048414,0.7788682831671664,0.0010379131875889324,0.7985130361308947,0.7831825062712889,9
PHYS-FULL,0.0013360135106452813,0.8025222131569482,0.7874967293754116,0.0006451208442725658,0.8208062467353863,0.8071719394217743,0.0009905671774589236,0.8116642299461672,0.797334334398593,9
ORIG-BASE,0.001542959406032418,0.7871015408133495,0.7709027450056696,0.0010527739523933898,0.7027607486992832,0.6801447187090113,0.0012978666792129038,0.7449311447563163,0.7255237318573404,10
PHYS-BASE,0.001542959406032418,0.7871015408133495,0.7709027450056696,0.0010527739523933898,0.7027607486992832,0.6801447187090113,0.0012978666792129038,0.7449311447563163,0.7255237318573404,10
MOD,0.0011552012779610856,0.8406046386140651,0.8284767306825266,0.0009147188854885078,0.7417390921810791,0.7220888057165961,0.0010349600817247968,0.7911718653975721,0.7752827681995613,10
MOD+A,0.001155208132963722,0.8406036927567124,0.8284757128577667,0.0009147143421953471,0.7417403749303859,0.7220901860663935,0.0010349612375795346,0.7911720338435492,0.7752829494620801,10
MOD+A+ASYM,0.001155208132963722,0.8406036927567124,0.8284757128577667,0.0007780130809704038,0.7803364861335461,0.7636229579045768,0.0009666106069670629,0.8104700894451293,0.7960493353811717,10
MOD+A+ALIGN,0.0011552085239725598,0.8406036388050798,0.8284756548011185,0.0006589148086519912,0.8139625852734931,0.7998075645877806,0.0009070616663122756,0.8272831120392865,0.8141416096944496,10
PHYS-FULL,0.0011552085239725598,0.8406036388050798,0.8284756548011185,0.0005211378585620375,0.8528624055037823,0.8416671537486353,0.0008381731912672987,0.8467330221544311,0.8350714042748769,10
ORIG-BASE,0.0018579267760023385,0.7375540955198361,0.7175853853963453,0.0010358791082843524,0.7287957199525982,0.708160611688122,0.0014469029421433455,0.7331749077362171,0.7128729985422337,11
PHYS-BASE,0.0018579267760023385,0.7375540955198361,0.7175853853963453,0.0010358791082843524,0.7287957199525982,0.708160611688122,0.0014469029421433455,0.7331749077362171,0.7128729985422337,11
MOD,0.0013226183458741965,0.8131703721866297,0.7989550744182211,0.0009512375006617678,0.7509558022187196,0.7320067871701439,0.001136927923267982,0.7820630872026746,0.7654809307941826,11
MOD+A,0.0013226071775389462,0.8131719497966218,0.798956772063756,0.0009512337349092896,0.7509567881331777,0.7320078480998325,0.001136920456224118,0.7820643689648997,0.7654823100817942,11
MOD+A+ASYM,0.0013226071775389462,0.8131719497966218,0.798956772063756,0.000876823926540346,0.7704380754241121,0.7529714072498599,0.001099715552039646,0.791805012610367,0.775964089656808,11
MOD+A+ALIGN,0.0013226071745380472,0.813171950220521,0.7989567725199085,0.0007116634889082529,0.8136788524820755,0.7995022434317987,0.00101713533172315,0.8134254013512983,0.7992295079758536,11
PHYS-FULL,0.0013226071745380472,0.813171950220521,0.7989567725199085,0.0006721687957855759,0.8240189874730869,0.8106291278243001,0.0009973879851618115,0.818595468846804,0.8047929501721043,11
ORIG-BASE,0.0018797230267106738,0.7274160556674655,0.7066759729465117,0.0010814630376153411,0.7013166905012742,0.6785907865176755,0.0014805930321630076,0.7143663730843699,0.6926333797320936,12
PHYS-BASE,0.0018797230267106738,0.7274160556674655,0.7066759729465117,0.0010814630376153411,0.7013166905012742,0.6785907865176755,0.0014805930321630076,0.7143663730843699,0.6926333797320936,12
MOD,0.0014890076477183298,0.7840747961328005,0.7676457045342093,0.0010390243089259965,0.713037608826696,0.6912035138461186,0.0012640159783221631,0.7485562024797483,0.7294246091901639,12
MOD+A,0.0014890076439980928,0.7840747966722826,0.767645705114739,0.0010390181541775551,0.7130393086727098,0.6912053430282421,0.0012640128990878238,0.7485570526724963,0.7294255240714905,12
MOD+A+ASYM,0.0014890076439980928,0.7840747966722826,0.767645705114739,0.0009805458065609853,0.7291884637458108,0.7085832381612529,0.001234776725279539,0.7566316302090468,0.7381144716379959,12
MOD+A+ALIGN,0.0014890077905872585,0.7840747754149737,0.7676456822400262,0.0008434654249009317,0.7670479380296986,0.7493233246189148,0.001166236607744095,0.7755613567223362,0.7584845034294705,12
PHYS-FULL,0.0014890077905872585,0.7840747754149737,0.7676456822400262,0.0008172096143901482,0.7742993854709579,0.7571265126263569,0.0011531087024887034,0.7791870804429658,0.7623860974331915,12
ORIG-BASE,0.0020675866169389124,0.6963975638085578,0.6732973784461653,0.0010401349569394624,0.6839367020622478,0.6598884076539406,0.0015538607869391874,0.6901671329354028,0.666592893050053,13
PHYS-BASE,0.0020675866169389124,0.6963975638085578,0.6732973784461653,0.0010401349569394624,0.6839367020622478,0.6598884076539406,0.0015538607869391874,0.6901671329354028,0.666592893050053,13
MOD,0.001422184372647564,0.7911678104743917,0.7752784047496171,0.0009013937116195831,0.7260956692839831,0.7052551223816774,0.0011617890421335736,0.7586317398791873,0.7402667635656472,13
MOD+A,0.0014223331561502837,0.7911459632475231,0.7752548952337476,0.00090140213443383,0.7260931098637549,0.7052523682229537,0.0011618676452920568,0.758619536555639,0.7402536317283506,13
MOD+A+ASYM,0.0014223331561502837,0.7911459632475231,0.7752548952337476,0.0008478641831416913,0.7423615578544025,0.7227586329085418,0.0011350986696459875,0.7667537605509628,0.7490067640711446,13
MOD+A+ALIGN,0.0014222309048209827,0.7911609777346672,0.7752710521275223,0.000664369346109166,0.7981196909313834,0.7827592326326843,0.0010433001254650744,0.7946403343330253,0.7790151423801033,13
PHYS-FULL,0.0014222309048209827,0.7911609777346672,0.7752710521275223,0.0006221655901996824,0.8109440443377536,0.7965593520591043,0.0010221982475103325,0.8010525110362103,0.7859152020933133,13
ORIG-BASE,0.0021653110905438277,0.7223852006002627,0.7012623354285437,0.0009428049558209827,0.693805177684527,0.670507745551828,0.0015540580231824053,0.7080951891423948,0.6858850404901858,14
PHYS-BASE,0.0021653110905438277,0.7223852006002627,0.7012623354285437,0.0009428049558209827,0.693805177684527,0.670507745551828,0.0015540580231824053,0.7080951891423948,0.6858850404901858,14
MOD,0.0014555012426663622,0.813390007896091,0.7991914215403587,0.0008670939848858273,0.7183938342774858,0.6969672781899032,0.0011612976137760948,0.7658919210867884,0.748079349865131,14
MOD+A,0.0014555290247375884,0.8133864459533455,0.7991875885802305,0.0008670955177730578,0.7183933364416075,0.6969667424752082,0.0011613122712553232,0.7658898911974765,0.7480771655277194,14
MOD+A+ASYM,0.0014555290247375884,0.8133864459533455,0.7991875885802305,0.0008798005328205548,0.7142671279390269,0.692526583325692,0.0011676647787790717,0.7638267869461862,0.7458570859529612,14
MOD+A+ALIGN,0.0014555038623099066,0.8133896720312721,0.799191060120608,0.0006734409522814193,0.7812865413459646,0.7646452999266359,0.0010644724072956628,0.7973381066886184,0.7819181800236219,14
PHYS-FULL,0.0014555038623099066,0.8133896720312721,0.799191060120608,0.0007049972549602883,0.7710379990233633,0.7536169772099236,0.0010802505586350974,0.7922138355273177,0.7764040186652659,14
ORIG-BASE,0.0021401273414290334,0.7106383109218071,0.6886216606658576,0.0010351874545886422,0.709279388667451,0.687159342153018,0.0015876573980088378,0.709958849794629,0.6878905014094379,15
PHYS-BASE,0.0021401273414290334,0.7106383109218071,0.6886216606658576,0.0010351874545886422,0.709279388667451,0.687159342153018,0.0015876573980088378,0.709958849794629,0.6878905014094379,15
MOD,0.0012156911408138058,0.8356292006117791,0.8231227267452841,0.0009483990158708698,0.7336529336218327,0.7133873959626245,0.0010820450783423378,0.7846410671168059,0.7682550613539543,15
MOD+A,0.0012157879161543259,0.8356161158408629,0.8231086463939721,0.0009484125336517252,0.7336491373069752,0.7133833107977234,0.0010821002249030256,0.7846326265739191,0.7682459785958478,15
MOD+A+ASYM,0.0012157879161543259,0.8356161158408629,0.8231086463939721,0.000739926213645399,0.7922001467285471,0.7763892883274583,0.0009778570648998623,0.813908131284705,0.7997489673607152,15
MOD+A+ALIGN,0.0012157879934983386,0.8356161053833571,0.8231086351407865,0.0007356851632942697,0.7933911974366166,0.7776709624589679,0.0009757365783963042,0.8145036514099868,0.8003897987998772,15
PHYS-FULL,0.0012157879934983386,0.8356161053833571,0.8231086351407865,0.0005101275483946469,0.8567364856775638,0.845836000892161,0.0008629577709464928,0.8461762955304604,0.8344723180164737,15
ORIG-BASE,0.0016974967381008855,0.7392340783368433,0.7193931929929075,0.0008623478584522103,0.7407859899184734,0.7210631848035747,0.001279922298276548,0.7400100341276583,0.7202281888982411,16
PHYS-BASE,0.0016974967381008855,0.7392340783368433,0.7193931929929075,0.0008623478584522103,0.7407859899184734,0.7210631848035747,0.001279922298276548,0.7400100341276583,0.7202281888982411,16
MOD,0.0010617451979040998,0.8368969089079695,0.824486891107489,0.000842491269036272,0.7467547021018446,0.7274860381313328,0.000952118233470186,0.791825805504907,0.7759864646194109,16
MOD+A,0.0010617796433305437,0.8368916174731337,0.8244811970634809,0.0008424843602251592,0.7467567788283256,0.7274882728696113,0.0009521320017778514,0.7918241981507297,0.7759847349665461,16
MOD+A+ASYM,0.0010617796433305437,0.8368916174731337,0.8244811970634809,0.000808003252770874,0.7571214895975037,0.7386416029364442,0.0009348914480507088,0.7970065535353187,0.7815613999999625,16
MOD+A+ALIGN,0.001061763967270017,0.8368940255969783,0.8244837884141398,0.0005671850186258556,0.8295092848029365,0.8165371651683774,0.0008144744929479363,0.8332016551999575,0.8205104767912585,16
PHYS-FULL,0.001061763967270017,0.8368940255969783,0.8244837884141398,0.0005387839313414055,0.8380463961942624,0.8257238393829562,0.0008002739493057113,0.8374702108956203,0.825103813898548,16
ORIG-BASE,0.0018593382956850464,0.7586716859933106,0.740309749058019,0.0008063270555974403,0.7408885134736669,0.7211735090640548,0.0013328326756412434,0.7497800997334887,0.7307416290610369,17
PHYS-BASE,0.0018593382956850464,0.7586716859933106,0.740309749058019,0.0008063270555974403,0.7408885134736669,0.7211735090640548,0.0013328326756412434,0.7497800997334887,0.7307416290610369,17
MOD,0.0016091971366774698,0.7911381523201049,0.7752464899966347,0.00086418683408364,0.7222953965621486,0.7011656984744861,0.001236691985380555,0.7567167744411267,0.7382060942355604,17
MOD+A,0.0016091956697892743,0.7911383427113079,0.7752466948741249,0.0008641863838804002,0.7222955412340034,0.701165854153982,0.0012366910268348371,0.7567169419726556,0.7382062745140534,17
MOD+A+ASYM,0.0016091956697892743,0.7911383427113079,0.7752466948741249,0.0008320275498271782,0.7326297142456109,0.7122863229382117,0.0012206116098082262,0.7618840284784594,0.7437665089061682,17
MOD+A+ALIGN,0.0016091956744766975,0.7911383421029152,0.7752466942194414,0.0005581827252503735,0.8206291669255962,0.8069813861481958,0.0010836891998635355,0.8058837545142556,0.7911140401838186,17
PHYS-FULL,0.0016091956744766975,0.7911383421029152,0.7752466942194414,0.0005569511044899774,0.8210249456407559,0.8074072784612483,0.0010830733894833374,0.8060816438718356,0.7913269863403448,17
ORIG-BASE,0.0014485220426144487,0.7954739463169631,0.779912181362819,0.0007369545379406939,0.7768741287004444,0.7598971602319999,0.0010927382902775713,0.7861740375087037,0.7699046707974095,18
PHYS-BASE,0.0014485220426144487,0.7954739463169631,0.779912181362819,0.0007369545379406939,0.7768741287004444,0.7598971602319999,0.0010927382902775713,0.7861740375087037,0.7699046707974095,18
MOD,0.001175830996199907,0.8339769320894129,0.8213447421396944,0.0006725880656393429,0.7963622035752522,0.7808680234124996,0.0009242095309196249,0.8151695678323325,0.801106382776097,18
MOD+A,0.001175836790440035,0.8339761139637424,0.8213438617653315,0.0006725647483629817,0.7963692632883506,0.7808756202776816,0.0009242007694015083,0.8151726886260464,0.8011097410215066,18
MOD+A+ASYM,0.001175836790440035,0.8339761139637424,0.8213438617653315,0.0005912835544288067,0.8209785658750597,0.807357369800336,0.0008835601724344209,0.8274773399194011,0.8143506157828337,18
MOD+A+ALIGN,0.0011758658606154059,0.8339720093605167,0.8213394448553387,0.0004888074686043084,0.8520049925537693,0.8407445028567735,0.0008323366646098571,0.842988500957143,0.8310419738560562,18
PHYS-FULL,0.0011758658606154059,0.8339720093605167,0.8213394448553387,0.0004503614076708174,0.8636452096936105,0.8532703886920373,0.0008131136341431116,0.8488086095270636,0.837304916773688,18
ORIG-BASE,0.0017068821087306385,0.7346537898625658,0.7144644043086306,0.0008537497401258403,0.7534729413147091,0.7347154477190891,0.0012803159244282394,0.7440633655886375,0.7245899260138599,19
PHYS-BASE,0.0017068821087306385,0.7346537898625658,0.7144644043086306,0.0008537497401258403,0.7534729413147091,0.7347154477190891,0.0012803159244282394,0.7440633655886375,0.7245899260138599,19
MOD,0.0012189899365564133,0.810499882677041,0.7960813954894246,0.0008098742421273854,0.7661423419148394,0.7483488244518381,0.0010144320893418993,0.7883211122959402,0.7722151099706314,19
MOD+A,0.0012189913765501272,0.8104996588204122,0.7960811546002262,0.0008098641085801804,0.7661452680575591,0.7483519732358517,0.001014427742565154,0.7883224634389856,0.772216563918039,19
MOD+A+ASYM,0.0012189913765501272,0.8104996588204122,0.7960811546002262,0.0007166734904783097,0.7930548036017013,0.7773089734409612,0.0009678324335142185,0.8017772312110567,0.7866950640205936,19
MOD+A+ALIGN,0.0012190024338795808,0.810497939884787,0.7960793048760209,0.0005844628939802348,0.8312316696665671,0.8183906010542408,0.0009017326639299077,0.820864804775677,0.8072349529651308,19
PHYS-FULL,0.0012190024338795808,0.810497939884787,0.7960793048760209,0.0005170456857426097,0.8506989271900022,0.8393390629544588,0.0008680240598110952,0.8305984335373946,0.8177091839152398,19
ORIG-BASE,0.0018824799704114956,0.7378538750549657,0.7179079742439305,0.001174425708704804,0.6788143326006578,0.6543762926898383,0.0015284528395581498,0.7083341038278117,0.6861421334668845,20
PHYS-BASE,0.0018824799704114956,0.7378538750549657,0.7179079742439305,0.001174425708704804,0.6788143326006578,0.6543762926898383,0.0015284528395581498,0.7083341038278117,0.6861421334668845,20
MOD,0.0013571186630690058,0.8110134481078393,0.796634036550827,0.0010228639330444823,0.7202639276724271,0.698979661299677,0.001189991298056744,0.7656386878901331,0.7478068489252521,20
MOD+A,0.0013571568883153572,0.8110081250232042,0.7966283084488829,0.001022853980346212,0.7202666495679142,0.6989825902959077,0.0011900054343307845,0.7656373872955592,0.7478054493723953,20
MOD+A+ASYM,0.0013571568883153572,0.8110081250232042,0.7966283084488829,0.0008645774674304636,0.7635526122794671,0.7455620501702962,0.0011108671778729104,0.7872803686513357,0.7710951793095895,20
MOD+A+ALIGN,0.0013571809845460896,0.811004769484972,0.796624697597959,0.0007794209813991231,0.7868414781452548,0.7706228949606546,0.0010683009829726064,0.7989231238151134,0.7836237962793068,20
PHYS-FULL,0.0013571809845460896,0.811004769484972,0.796624697597959,0.0006351299682580032,0.8263026420247204,0.8130865387005144,0.0009961554764020464,0.8186537057548462,0.8048556181492367,20
ORIG-BASE,0.0017386217405217944,0.763780627898371,0.7458074148036818,0.00107704565902306,0.7460302327944068,0.7267064461591987,0.0014078336997724273,0.7549054303463889,0.7362569304814403,21
PHYS-BASE,0.0017386217405217944,0.763780627898371,0.7458074148036818,0.00107704565902306,0.7460302327944068,0.7267064461591987,0.0014078336997724273,0.7549054303463889,0.7362569304814403,21
MOD,0.0012149854658928918,0.8349249309515198,0.8223648713500049,0.0009539558801504144,0.7750550770280573,0.7579397024541052,0.001084470673021653,0.8049900039897886,0.7901522869020551,21
MOD+A,0.001214985354409268,0.8349249460983403,0.822364887649301,0.0009539559832298258,0.7750550527217024,0.7579396762983537,0.001084470668819547,0.8049899994100214,0.7901522819738274,21
MOD+A+ASYM,0.001214985354409268,0.8349249460983403,0.822364887649301,0.0007346222004526408,0.8267744476104674,0.8135942425373508,0.0009748037774309545,0.8308496968544039,0.8179795650933259,21
MOD+A+ALIGN,0.0012149858885855747,0.8349248735220066,0.8223648095508549,0.0006984362965911028,0.8353071644018565,0.8227761877802586,0.0009567110925883388,0.8351160189619315,0.8225704986655568,21
PHYS-FULL,0.0012149858885855747,0.8349248735220066,0.8223648095508549,0.0005099247689790643,0.879758602817779,0.8706098008582621,0.0008624553287823195,0.8573417381698928,0.8464873052045585,21
