iteration,Model,C_AI_MSE,C_AI_adj_R2,C_self_MSE,C_self_adj_R2,Mean_MSE,Mean_adj_R2
1,MOD,0.0014880851661177397,0.791550173041238,0.0007382628251815271,0.770341501592104,0.0011131739956496333,0.780945837316671
1,MOD+A_OG,0.0014880851661177397,0.791550173041238,0.0007382628251815271,0.770341501592104,0.0011131739956496333,0.780945837316671
1,MOD+A_OG+ASYM,0.0014880851661177397,0.791550173041238,0.0007383932787563273,0.770300920147287,0.0011132392224370334,0.7809255465942625
1,MOD+A_OG+ALIGN,0.0014880875498132185,0.7915498391350064,0.0005969248098887911,0.8143088737161179,0.0010425061798510049,0.8029293564255622
1,PHYS-FULL_OG-A,0.0014880875498132185,0.7915498391350064,0.0005970533014633942,0.8142689026095216,0.0010425704256383063,0.802909370872264
2,MOD,0.0013229598584656515,0.8176738478034407,0.0008603397381776907,0.7461810069883261,0.001091649798321671,0.7819274273958834
2,MOD+A_OG,0.0013229598584656515,0.8176738478034407,0.0008603397381776907,0.7461810069883261,0.001091649798321671,0.7819274273958834
2,MOD+A_OG+ASYM,0.0013229598584656515,0.8176738478034407,0.0008603755378023465,0.7461704453180031,0.0010916676981339991,0.7819221465607219
2,MOD+A_OG+ALIGN,0.0013229445540742467,0.8176759570063606,0.0006491460357727365,0.8084877568641075,0.0009860452949234915,0.813081856935234
2,PHYS-FULL_OG-A,0.0013229445540742467,0.8176759570063606,0.0006491645576494296,0.8084822925063865,0.0009860545558618382,0.8130791247563736
3,MOD,0.0013250757059345547,0.8036355292940559,0.0008009412780181471,0.7318799950118448,0.001063008491976351,0.7677577621529503
3,MOD+A_OG,0.0013250757059345547,0.8036355292940559,0.0008009412780181471,0.7318799950118448,0.001063008491976351,0.7677577621529503
3,MOD+A_OG+ASYM,0.0013250757059345547,0.8036355292940559,0.0007991679483897006,0.7324736279807951,0.0010621218271621277,0.7680545786374255
3,MOD+A_OG+ALIGN,0.0013250704106017833,0.803636314015421,0.0005764134193335848,0.8070420727355012,0.000950741914967684,0.8053391933754611
3,PHYS-FULL_OG-A,0.0013250704106017833,0.803636314015421,0.0005765168686399887,0.8070074424457281,0.000950793639620886,0.8053218782305746
4,MOD,0.001334768100926752,0.8150301069829934,0.0007106189459676959,0.7736252603628107,0.001022693523447224,0.7943276836729021
4,MOD+A_OG,0.001334768100926752,0.8150301069829934,0.0007106189459676959,0.7736252603628107,0.001022693523447224,0.7943276836729021
4,MOD+A_OG+ASYM,0.001334768100926752,0.8150301069829934,0.0007106779495002583,0.7736064642001171,0.0010227230252135052,0.7943182855915553
4,MOD+A_OG+ALIGN,0.001334763498362097,0.8150307447985744,0.000547612272766016,0.8255526588856642,0.0009411878855640565,0.8202917018421193
4,PHYS-FULL_OG-A,0.001334763498362097,0.8150307447985744,0.0005477253979273858,0.8255166217393191,0.0009412444481447413,0.8202736832689468
5,MOD,0.001289826415662593,0.7821212184602615,0.0008287673520046014,0.7446622760369914,0.0010592968838335972,0.7633917472486265
5,MOD+A_OG,0.001289826415662593,0.7821212184602615,0.0008287673520046014,0.7446622760369914,0.0010592968838335972,0.7633917472486265
5,MOD+A_OG+ASYM,0.001289826415662593,0.7821212184602615,0.0008289069444774914,0.7446192685220068,0.0010593666800700423,0.7633702434911341
5,MOD+A_OG+ALIGN,0.0012898263950771,0.7821212219375838,0.0006290256051016028,0.8062013833766394,0.0009594260000893514,0.7941613026571116
5,PHYS-FULL_OG-A,0.0012898263950771,0.7821212219375838,0.0006291069939509155,0.806176308012016,0.0009594666945140077,0.7941487649747999
6,MOD,0.0012739633622669297,0.8417440781704222,0.0010911348792484483,0.6841573518206966,0.001182549120757689,0.7629507149955594
6,MOD+A_OG,0.0012739633622669297,0.8417440781704222,0.0010911348792484483,0.6841573518206966,0.001182549120757689,0.7629507149955594
6,MOD+A_OG+ASYM,0.0012739633622669297,0.8417440781704222,0.0010911248527911992,0.6841602541042452,0.0011825441075290644,0.7629521661373337
6,MOD+A_OG+ALIGN,0.0012739647712129046,0.8417439031465159,0.0007983350465341039,0.7689119282802568,0.0010361499088735043,0.8053279157133864
6,PHYS-FULL_OG-A,0.0012739647712129046,0.8417439031465159,0.0007983402783895264,0.7689104138542192,0.0010361525248012155,0.8053271585003676
7,MOD,0.0010882310066712326,0.835591664811425,0.0006552331524472003,0.7757485431514678,0.0008717320795592165,0.8056701039814465
7,MOD+A_OG,0.0010882310066712326,0.835591664811425,0.0006552331524472003,0.7757485431514678,0.0008717320795592165,0.8056701039814465
