alpha_fast,alpha_small,alpha_b,omega1,omega2,omega3,omega4,gamma_res,beta,gamma
0.2782691799665201,0.4020708807297873,0.014861432502216502,0.8827454226233842,0.28576100907781127,7.515461814322933e-11,0.5022228168250186,0.04969575503425081,5.333321569383551e-22,0.36520641209456456
0.24002899933045221,0.3473252497821374,0.009551534352856675,0.8386610207880484,0.19606329606936657,0.03898177194375051,0.5341934126466487,0.21566422688163267,9.999999999969184e-13,0.33280922451747635
0.2673506828597971,0.3812123890084799,0.013863634576397247,0.8426401790396899,0.22384200647735783,0.04190234763424203,0.526407068140436,0.13650811293233656,9.99999875233065e-13,0.3843975780621879
0.26553624416597027,0.3781239061628732,0.0054867154308881365,0.8389128921696855,0.2446224164994164,2.745871649155594e-11,0.5549826202895726,0.16576854842318398,9.482270167172907e-20,0.3283053248242525
0.2694346233752952,0.34591296764392715,0.03869265189636541,0.8136910514776325,0.2201283523124731,0.014684770208743909,0.5364480855849386,0.14416604808112451,3.6661707228662525e-33,0.37754610763564694
0.2490077917177981,0.3900726316746887,0.015961781577676824,0.8356289783463239,0.14882998077658052,9.400458005212977e-12,0.5870774702869731,0.1992308653903155,9.999999996882718e-13,0.33426671667782065
0.23708348247138494,0.3272838222075523,0.021187486214736144,0.830357946682047,0.06236618208440072,8.133568859540811e-11,0.6147179991110374,0.21901505822649447,9.999999998421733e-13,0.36595392081682887
0.26196396451817744,0.37512517510259413,0.03605659842029776,0.8628066968770398,0.14111162613214173,0.05259938128695921,0.5441927845659965,0.07450473347991612,9.999999999999994e-13,0.3562816350396859
0.2638003616081679,0.36560748780306696,0.020849700721677647,0.8241471527647148,0.2514209715741362,3.2693989929174736e-13,0.5494610526747027,0.21548934136559636,1.4306231166868263e-23,0.32021771362997725
0.2270253084909617,0.3608302631329758,0.0323122633761296,0.8306541993992741,0.1596609449897556,9.460982694131214e-11,0.5741649917266105,0.17951535762956075,9.999999999999996e-13,0.3649928386044606
0.23937384765586872,0.32835542236791787,0.009647690155828594,0.8223995675259442,0.2430332978655539,0.01988650891010798,0.6103334738347733,0.162306789533154,4.426676416011891e-22,0.3862954555806518
0.24240583656762618,0.3654033908508851,0.004369426647314319,0.8299752041481411,0.1968236166682579,2.1062057174888698e-12,0.5998209392883322,0.1615387678032713,9.999999999924687e-13,0.37096835255858257
0.2265053350150616,0.34257514283482565,0.025981515151154797,0.8394369436169563,0.14875625648302265,1.435515717037664e-10,0.5761088159292033,0.1872107660631184,9.999999999992075e-13,0.34002327881884825
0.21182166353379253,0.42373910860221636,0.010048508234451995,0.8460131023030477,0.16423801469119975,1.0477067048791861e-12,0.5771611465635976,0.18503364619899398,9.999999872127803e-13,0.31146077414785867
0.24166395354067038,0.34122236903581804,0.04473730454933633,0.8282118678566921,0.1616066069008188,2.3726928818737337e-12,0.5453764712663765,0.16980966353236424,1.1825181963471832e-22,0.4419189212182899
0.2743347061356714,0.3229571364140551,0.041018695094850385,0.808952829600543,0.21399501642408134,2.9574893938733562e-08,0.5988804456670557,0.13195113331859518,9.998238918630832e-13,0.41695311947946334
0.25206460232238276,0.38284015010744177,0.015487697061776842,0.8227334184575466,0.18527645555484307,1.5969418567303067e-12,0.5735075618184297,0.2653736295827236,9.999992693804994e-13,0.35436935046061535
