model,mse,r2,alpha_fast,alpha_small,alpha_b,omega1,omega2,omega3,omega4,gamma_res,beta,gamma
aiconf,0.001333537184270401,0.8121576514150214,0.25056456425876816,0.35285970433485425,0.022270895626743538,0.8327737402354393,0.18622900019464014,7.905789702929196e-23,0.5655255018799569,0.1788634590362634,5.663628697676941e-19,0.3534950859246202
selfconf,0.0009727678530900276,0.6022664602121457,0.3021887491090101,0.42273657680801985,6.358545533385992e-11,0.4795179899597922,0.8038558323493832,0.2414569794915509,0.2998798560071078,0.8243283513496529,3.6750577411620794e-28,0.10405985670740611
