parameter,vif
alpha_fast,6.927499027034775
alpha_small,2.975964108343466
alpha_b,1.322616767822218
omega1,3.9430196037171865
omega2,2.042332558478515
omega3,4.639007233201233
omega4,2.1613657864119267
gamma_res,7.789499996506514
beta,1.4801615888202297
gamma,2.311016342835235
