parameter,vif
alpha_fast,4.323044459807399
alpha_small,1.6793873145532399
alpha_b,2.0652999961028056
omega1,2.384414564551676
omega2,3.2632395611771834
omega3,2.541134261964381
omega4,2.8205599621216937
gamma_res,2.07409554443819
beta,1.2356473432185553
gamma,2.171928849192568
