alpha_fast,alpha_small,alpha_b,omega1,omega2,omega3,omega4,gamma_res,beta,gamma
0.3184822707851714,0.3886401115060124,3.296348834207476e-13,0.4898308134316054,0.823567448007238,0.2669571072442235,0.2568224837543276,0.7481246125573456,6.433798322134823e-27,0.10536319313310819
0.2409101308593051,0.41820327672596413,0.004327870374108035,0.5155398563248071,0.8493725173340883,0.21185339462380168,0.21344460589612488,0.870569187515909,1.0533483538074972e-22,0.1508344918498769
0.26562356126070624,0.4172331147486853,1.5540965353805608e-10,0.4599871938399732,0.8427254531544685,0.21853130535008664,0.2456845302417579,1.0445733584819656,3.561018827739966e-20,0.15305943144262796
0.27082874238866117,0.42197562788162046,0.022876089283368643,0.46335119614575837,0.8241655462688885,0.2432483590983124,0.2908316047511497,0.955575850849757,7.502122933268092e-21,0.1306357578700147
0.3203759444235492,0.41309097344321605,9.373144814271678e-13,0.47299050857684133,0.8023177004766965,0.2539109946048878,0.28639153762169384,0.7560206221238186,9.855465662763811e-18,0.10925427310039594
0.31840310026399626,0.37296609495292726,2.76730513023462e-13,0.45917214674589313,0.7853339716922418,0.2596347319218759,0.31750117120630245,1.1004285963471068,9.999999744588655e-13,0.16658385505226228
0.29816332390972244,0.49317686543896583,2.3966572240109834e-11,0.4863308436297745,0.8118896450141218,0.23143698727535256,0.32273498618253976,0.8208420270595349,9.999999999999998e-13,0.1113111649244056
0.36727143612017615,0.36097467662792426,4.0803784835100645e-08,0.5336785186422568,0.7781980740480776,0.2994837927816716,0.34260413181760613,0.5018758370734494,6.865071476747103e-32,0.04562213995974951
0.3553718802550659,0.3924905281991346,3.767469971650099e-11,0.4452171129053979,0.7170285820147964,0.27925407730445284,0.3338761356058013,0.8478554512577666,9.999999997654327e-13,0.08294538813827601
0.2594356837314088,0.4131944460120813,1.0790377256285168e-10,0.4662466881370305,0.8084521318962913,0.20434104590416338,0.2707294353584871,1.0784254300779121,2.9208136473288694e-30,0.10447699373730115
0.3564565947476913,0.41825340029870856,2.211600838378613e-14,0.4653540830696253,0.768551963195897,0.28496882688109043,0.3464116086301879,0.6794647132223767,9.99999999999997e-13,0.11031641244305454
0.3097922517007548,0.4200415121259388,2.4036292911191926e-12,0.4981034746987569,0.7796925752061261,0.253561232678194,0.30695104766170767,0.664828424057625,2.135526420931867e-24,0.09428216154784137
0.2600753272018115,0.46890845059069847,0.00728166360405231,0.46739489290047104,0.8366395315764974,0.22413520275933027,0.2734181692075507,0.8777589386763734,1.208485895631291e-22,0.13783165867618374
0.2586446084113709,0.46541998137124835,3.3681824684040575e-12,0.4277330055142051,0.7705398944219588,0.2186324914723944,0.29309629182620284,1.1664201852694436,9.999999999992356e-13,0.09847563332800101
0.3069437235754016,0.43853911359030706,5.552051122217241e-11,0.5107339151170148,0.825516442991142,0.27562481728882143,0.29313113559682696,0.6453527602075901,5.823974877486588e-29,0.0835169825378563
0.3393428048933264,0.4367590312207486,3.198886324299664e-12,0.5033687728223302,0.7515389824790957,0.2669355514464887,0.33158447309492783,0.6371007371895122,4.031681646700638e-27,0.08276231581386383
0.25382880302640803,0.4425997027374321,1.3953495473799435e-10,0.48631427823349693,0.8201114048345768,0.19263527689199178,0.2924795134714833,1.079513852568067,1.3830562643746878e-28,0.13331831907528238
0.25877321156541283,0.4225354611873744,0.0007110986416412673,0.5170744602160509,0.8294485878342105,0.21056577363870096,0.22446317864595994,0.7134494068719578,1.7080646430535797e-25,0.13944554568067527
0.268462121238249,0.46713922212156783,1.2135408973487416e-10,0.4397915809774772,0.8404101842490914,0.1936774012094189,0.30541204039051545,1.0654104178218056,3.5717989281815256e-22,0.13432947303932743
0.27473982406349023,0.45157197778856956,4.217727350868715e-13,0.4686367895033577,0.8274756759174268,0.20780979053991713,0.25428425507168495,0.9872485368128129,4.149910897304938e-25,0.11753786613479368
0.3211209586179137,0.4016070589151564,4.6856261368573496e-11,0.5261964582467245,0.7594140865577488,0.2803086994026574,0.2938862731253095,0.5229278487751532,6.232236216554876e-29,0.0793362951420919
0.24495570863327387,0.4445001246347932,8.308832160799727e-11,0.46509192188524906,0.8214965950695132,0.1852259983169526,0.25985549512831396,0.9863810562829001,3.589683869848378e-25,0.13433825705936883
0.3012447202783855,0.39424429187347076,1.9716339622995315e-12,0.5047153742443312,0.8415927469165675,0.28136172008263277,0.31992827776028415,0.7232672953309366,3.520874809047528e-27,0.1072629837425254
0.2982371203040649,0.4268520919957062,0.007444813386696883,0.47407965544262365,0.8136666204301575,0.26677347631253134,0.3043073892414862,0.8441871957753242,1.7468711848384149e-25,0.06639853611398376
0.32376124067055334,0.42193974819899494,0.0021152931282664186,0.4718027291467215,0.7845350492153648,0.23232474754486696,0.2831818247457286,0.8002363925261614,3.689300479286256e-24,0.14289741609479123
0.3157907599680549,0.4578601223413388,6.791667563168525e-11,0.4573741189792155,0.7256039230699793,0.2593192167466516,0.3143478209082563,0.743862967628029,9.999999999999998e-13,0.0900502809178134
0.2817920329930685,0.41073360700436107,4.955996100001319e-12,0.4524155300751698,0.8817418981400985,0.2459093821876202,0.2775104873126006,1.1124601404861651,9.999999867480266e-13,0.1431644683110781
0.3183202780260999,0.4102906023429719,1.8226311263906903e-12,0.45719858785758505,0.7920958990584192,0.2617248760427865,0.34911321883103513,0.8144026169454741,1.1900116340311814e-23,0.09322449976742071
0.25458808062466337,0.4352032814880187,6.891167629854787e-11,0.4815882559410882,0.8491459796441753,0.2044046937190556,0.2470291596661925,0.9511448724327112,7.455073078946549e-28,0.13027797271172714
0.24049851605215788,0.5495341328348353,1.812511245548248e-07,0.5062490754940645,0.8385573073836139,0.16278869949426827,0.28490291629530123,0.8921017089370884,4.053177197087398e-27,0.14349630393852686
0.30725199995027785,0.4095446399666436,0.004262302538140536,0.5082051848919591,0.8037658631011216,0.24392647345051163,0.2902784789079167,0.679989478426412,3.770343401953852e-24,0.09113549651603049
0.2903722319419067,0.44356543226028733,3.768695819119047e-10,0.4634043062966595,0.8224121027735257,0.2622330857695464,0.3230568634214187,0.8357178788175056,9.999999999135453e-13,0.12617109874233023
0.2865331011745575,0.4031518532278402,3.599379554288861e-10,0.48706309139770265,0.8516822856207067,0.2140073211941599,0.3150066776134303,1.0079344905437533,2.5705411643766747e-26,0.14185082153604936
0.3251585484984053,0.39098330846836815,0.024522812772142185,0.4744252957373151,0.7840306233621468,0.2663963551801934,0.2776217717811772,0.7562647523008362,1.5617911449650655e-27,0.07446406113468469
0.2917650478410488,0.37161937799103806,0.05818393137618536,0.4471455895661873,0.8135222824764465,0.22749687483790174,0.2986387181247032,1.0010565464208212,1.7860893692575348e-25,0.10885926720446436
0.3145834915753054,0.4491148012526011,4.224286964012966e-09,0.4866260474042061,0.7567387924917519,0.2825808152427103,0.3177845519965466,0.6594214410573088,1.1065222476304173e-22,0.10597870249563482
0.33488081451743545,0.3274503962226889,0.04566324993122494,0.5048444436903966,0.7451747071260059,0.28198830333542346,0.3014198917832699,0.7703343952101792,2.304388588177789e-19,0.14865540382693324
0.34993494115949175,0.35566205132502776,8.701653637054899e-08,0.5298592147668455,0.796411678705742,0.2830478995729564,0.3141049742731527,0.5731965115254162,3.827063676994579e-32,0.061583821647980534
0.3040279662068938,0.41278258754882774,2.1089117624543027e-10,0.48473296034067914,0.8735485172536325,0.23991829427012437,0.24692205889198302,0.8268968435331322,3.074648075261054e-22,0.12376305960255028
0.27870305528476924,0.4847212863403015,4.060609456772824e-11,0.5067344082449123,0.7449452785563445,0.27786533074087694,0.2839035029695174,0.6863295653322244,9.999999999999998e-13,0.1348627711913707
0.32127144449146855,0.40118273383365965,7.395882963184753e-12,0.4798700366017972,0.7670652535776508,0.25963722905798836,0.3440797876241799,0.7885266761198569,9.999999999942101e-13,0.07892352346857014
