iteration,true_omega2_ai,recovered_omega2_ai,recovered_adj_r2,noise_sd
1,0.19154864744671626,0.2816502261643937,0.8266431186163558,0.22341354224226362
2,0.19154864744671626,0.19246260692338685,0.8825556842144707,0.22341354224226362
3,0.19154864744671626,0.23426176166460952,0.8458556901283637,0.22341354224226362
4,0.19154864744671626,0.17106918086532222,0.8827192797227605,0.22341354224226362
5,0.19154864744671626,0.23646411543074455,0.8613299970583954,0.22341354224226362
6,0.19154864744671626,0.27939569245399654,0.8532547666701671,0.22341354224226362
7,0.19154864744671626,0.2736159162587911,0.8697245585573279,0.22341354224226362
8,0.19154864744671626,0.18705815083825497,0.8163397184545232,0.22341354224226362
9,0.19154864744671626,0.2096298883188387,0.876909614631044,0.22341354224226362
10,0.19154864744671626,0.2412379935107413,0.8543696874513476,0.22341354224226362
11,0.19154864744671626,0.18937292249350682,0.8606529416153873,0.22341354224226362
12,0.19154864744671626,0.16092767121700863,0.88259783447258,0.22341354224226362
13,0.19154864744671626,0.17539244334241233,0.7571247692597591,0.22341354224226362
14,0.19154864744671626,0.21335877802049913,0.8931825107808489,0.22341354224226362
15,0.19154864744671626,0.21495439041318487,0.8717249264929638,0.22341354224226362
16,0.19154864744671626,0.21084331748648877,0.8100082811737445,0.22341354224226362
17,0.19154864744671626,0.27540916186103837,0.8634285076786853,0.22341354224226362
18,0.19154864744671626,0.23637374918128076,0.8943229296082665,0.22341354224226362
19,0.19154864744671626,0.185555667900952,0.8753761002330115,0.22341354224226362
20,0.19154864744671626,0.1714924658419516,0.8564832942350245,0.22341354224226362
21,0.19154864744671626,0.18549789920469797,0.8742700791491359,0.22341354224226362
22,0.19154864744671626,0.18615278414259046,0.8531201391750857,0.22341354224226362
23,0.19154864744671626,0.1707721736636895,0.8411924007518795,0.22341354224226362
24,0.19154864744671626,0.21981158735004452,0.887289702952395,0.22341354224226362
25,0.19154864744671626,0.2750728104752464,0.8390328651396504,0.22341354224226362
26,0.19154864744671626,0.18042517566044072,0.8166042890168161,0.22341354224226362
27,0.19154864744671626,0.24195417903868163,0.8829817095271061,0.22341354224226362
28,0.19154864744671626,0.21778992494104923,0.8781501320235574,0.22341354224226362
29,0.19154864744671626,0.1748618183534185,0.8941267099450912,0.22341354224226362
30,0.19154864744671626,0.22401846373709255,0.894980726527029,0.22341354224226362
31,0.19154864744671626,0.2450442656725438,0.8605441364301335,0.22341354224226362
32,0.19154864744671626,0.18482997857652528,0.8329597208090614,0.22341354224226362
33,0.19154864744671626,0.20728130252557528,0.8021934886278282,0.22341354224226362
34,0.19154864744671626,0.24063042326859643,0.8179858041127575,0.22341354224226362
35,0.19154864744671626,0.22660287300200185,0.8467876141916175,0.22341354224226362
36,0.19154864744671626,0.19680748286661257,0.8550696573666601,0.22341354224226362
37,0.19154864744671626,0.23020941520407884,0.8404781934653116,0.22341354224226362
38,0.19154864744671626,0.18905235030529716,0.8850411033960083,0.22341354224226362
39,0.19154864744671626,0.19361272774435398,0.8615605675850593,0.22341354224226362
40,0.19154864744671626,0.17515933609838955,0.8337097127805332,0.22341354224226362
41,0.19154864744671626,0.2116073330826843,0.8496449302447147,0.22341354224226362
42,0.19154864744671626,0.22069606342277184,0.8775230649225998,0.22341354224226362
43,0.19154864744671626,0.16532547369113437,0.8656392348983061,0.22341354224226362
44,0.19154864744671626,0.18126234757976326,0.8171298594383071,0.22341354224226362
45,0.19154864744671626,0.16688537460120179,0.8137743584536239,0.22341354224226362
46,0.19154864744671626,0.18558457834798667,0.8604714869313599,0.22341354224226362
47,0.19154864744671626,0.22083820273875596,0.8656058491786631,0.22341354224226362
48,0.19154864744671626,0.20009724024525405,0.8518613069304941,0.22341354224226362
49,0.19154864744671626,0.218157422001616,0.8651603113318357,0.22341354224226362
50,0.19154864744671626,0.16834953304665518,0.7989749969510854,0.22341354224226362
