test,n,pearson_r,pearson_p,spearman_r,spearman_p
omega2_ai_vs_reject_positive_count,100,-0.10274912086589182,0.309025724588866,-0.049845889693999404,0.6223670807396513
omega2_ai_vs_omega2_self,100,0.007404952650121319,0.9417109983759859,-0.02873207996000958,0.7765889059602525
