dataset,split,n_participants,omega2_ai,adj_r2
chess,condition_1,50,0.4432655817949288,0.867225147851026
chess,condition_2,50,0.19353299112880132,0.8422920938422592
chess,pre_trials_1_20,100,0.2375122110653,0.8337686949967176
chess,post_trials_21_30,100,0.42531553370861497,0.7570316673538686
truss,condition_1,50,0.26804467636193496,0.8757460307388713
truss,condition_2,50,0.18272906060186336,0.7867091078194923
