dataset,split,n_participants,gamma_res_self,adj_r2
chess,condition_1,50,0.5679857023481591,0.7374859351161906
chess,condition_2,50,1.2156873408847861,0.6840039817112926
chess,pre_trials_1_20,100,0.6347942987072894,0.6665825580142044
chess,post_trials_21_30,100,0.6113551973784954,0.3282550059824315
truss,condition_1,50,0.7208301863184721,0.8292512366412279
truss,condition_2,50,0.5219484102937676,0.9063860882760875
