test,n,pearson_r,pearson_p,spearman_r,spearman_p
gamma_res_self_vs_align_count,100,-0.08414659730486286,0.4052033620890832,-0.08241592221969153,0.4149660919799247
gamma_res_self_vs_alignment_abs_delta_contrast,87,0.15538398253226005,0.15068750100331943,-0.021057725818789265,0.846493821053366
gamma_res_self_vs_gamma_res_ai,100,0.0007890355819860037,0.993783620969671,0.15190146867505036,0.1313789558665913
