dataset,channel,alignment_status,n,mean_signed_delta,mean_abs_delta
chess,self,aligned,287,0.08623693379790941,0.13153310104529617
chess,self,nonaligned,2713,-0.013085145595281976,0.1085514190932547
chess,AI,aligned,287,0.08188153310104529,0.13240418118466898
chess,AI,nonaligned,2713,-0.01575746406192407,0.13241798746774788
truss,self,aligned,131,0.05916030534351145,0.12404580152671756
truss,self,nonaligned,2869,-0.007842453816660858,0.11937957476472638
truss,AI,aligned,131,0.061068702290076333,0.15267175572519084
truss,AI,nonaligned,2869,-0.008975252701289647,0.14299407459044963
