track,n,mse_mean,mse_std,r2_mean,r2_std,adj_r2_mean,adj_r2_std,adj_r2_min,adj_r2_max
aiconf:chosen_subset_curve,100,0.00163555925743292,0.00030691564381498196,0.7752020502695569,0.04795973287261654,0.7580978584422406,0.051608842982489536,0.6046860351455801,0.8594804771720405
aiconf:full_data_curve,100,0.0015812819938867543,0.00022648536438521833,0.7772602616481695,0.0319027795160585,0.7603126728605304,0.034330164914019475,0.6458926049040081,0.8214345437316959
selfconf:chosen_subset_curve,100,0.0013276813532077847,0.0001452567421554394,0.48851175865546087,0.04244569522714322,0.44959417507489824,0.04567525899442585,0.32970162170944595,0.5462117839860836
selfconf:full_data_curve,100,0.0012331506740706497,7.923490271804023e-05,0.49580428554262,0.032396607507830376,0.45744156813825415,0.034861566774730506,0.2634318414831458,0.5017818140646544
