track,scope,iteration,mse,r2,adj_r2,cond1_mse,cond2_mse
aiconf,full_data_curve,1,0.001471249460424391,0.7927594691319368,0.7769911678702364,0.001009294988696978,0.0019332039321518044
aiconf,full_data_curve,2,0.0016019629140546303,0.7743471425682861,0.7571779034158731,0.0009791120437617463,0.002224813784347515
aiconf,full_data_curve,3,0.0014747586433717498,0.7922651648303984,0.7764592534587984,0.0009301506895650081,0.0020193665971784914
aiconf,full_data_curve,4,0.0013728704825608474,0.8066171541453384,0.7919032419607446,0.0010926677512801649,0.0016530732138415297
aiconf,full_data_curve,5,0.0015979561576173376,0.7749115351838552,0.7577852389478442,0.0020660808736111865,0.0011298314416234888
aiconf,full_data_curve,6,0.001359725443062204,0.8084687673742701,0.7938957388049211,0.0010003374197490294,0.0017191134663753784
aiconf,full_data_curve,7,0.0012705799259433812,0.8210258250243601,0.8074082247544745,0.000993602528382168,0.0015475573235045942
aiconf,full_data_curve,8,0.0018134467830297652,0.7445574770796093,0.7251216329443622,0.0010270868314648323,0.002599806734594698
aiconf,full_data_curve,9,0.0015007586419010829,0.7886027991726849,0.7725182295445197,0.0008226122248521142,0.002178905058950052
aiconf,full_data_curve,10,0.0016600537914622487,0.7661644484729736,0.7483726130306998,0.0018025448394734698,0.0015175627434510274
aiconf,full_data_curve,11,0.0014538013062250514,0.7952172200682708,0.7796359215952045,0.0014591037082415203,0.0014484989042085827
aiconf,full_data_curve,12,0.0014753155253547858,0.792186722308651,0.7763748424843092,0.0010253628439486607,0.001925268206760911
aiconf,full_data_curve,13,0.0015030462575342542,0.7882805651185744,0.7721714776819442,0.0017456169708099498,0.0012604755442585586
aiconf,full_data_curve,14,0.0016562814089599387,0.7666958271231928,0.7489444226651749,0.0008587216195678671,0.0024538411983520106
aiconf,full_data_curve,15,0.0014942610922460812,0.7895180454827537,0.7735031141607893,0.0013502232207626811,0.0016382989637294808
aiconf,full_data_curve,16,0.0013572725634607972,0.8088142805482252,0.7942675410247206,0.0015160891093162626,0.0011984560176053316
aiconf,full_data_curve,17,0.0013291511210726096,0.8127754732664354,0.7985301288410555,0.001108119752186545,0.0015501824899586743
aiconf,full_data_curve,18,0.0015507706152322785,0.7815581013279518,0.7649375220811656,0.0017611037850392734,0.0013404374454252836
aiconf,full_data_curve,19,0.0020037090936801394,0.7177570850835476,0.6962820806877306,0.0009355153674979547,0.003071902819862324
aiconf,full_data_curve,20,0.0017656978741798237,0.7512833991510289,0.7323593099559986,0.0010667003790270323,0.0024646953693326155
aiconf,full_data_curve,21,0.0016787269576023685,0.7635341420783328,0.7455421746277713,0.0023421797538705513,0.0010152741613341858
aiconf,full_data_curve,22,0.0013462807004710673,0.8103625968484152,0.795933663999925,0.0010697235614372186,0.0016228378395049157
aiconf,full_data_curve,23,0.0013976588531975744,0.8031254586658867,0.7881458739991607,0.0010689814828774688,0.0017263362235176798
aiconf,full_data_curve,24,0.001792670412344229,0.7474840413409414,0.7282708705734044,0.0011516937921151162,0.002433647032573342
aiconf,full_data_curve,25,0.001472966419664742,0.792517617866043,0.7767309148775898,0.0011986887471255247,0.0017472440922039593
aiconf,full_data_curve,26,0.0012899788587407016,0.8182932869746735,0.8044677762010074,0.0013525895577220267,0.0012273681597593762
aiconf,full_data_curve,27,0.0017347898275800544,0.7556371135670623,0.7370442852515127,0.001058837676508314,0.002410741978651795
aiconf,full_data_curve,28,0.0018206025312996912,0.743549516764171,0.7240369799962276,0.0012629633207049465,0.0023782417418944358
aiconf,full_data_curve,29,0.0014813489348598215,0.7913368548848034,0.7754603112347341,0.0013655289421368852,0.0015971689275827573
aiconf,full_data_curve,30,0.001439127514779772,0.7972841736412494,0.7818601433748227,0.0010741305590166851,0.001804124470542859
aiconf,full_data_curve,31,0.0015133629703917653,0.7868273506183038,0.7706076925131747,0.0011079770770434621,0.0019187488637400685
aiconf,full_data_curve,32,0.001467381818653235,0.7933042660242535,0.777577416700012,0.0010397808019736957,0.0018949828353327744
aiconf,full_data_curve,33,0.001923625913124602,0.7290376199611239,0.708420917132079,0.0011500801500389753,0.002697171676210229
aiconf,full_data_curve,34,0.0014354903423198669,0.7977965065743959,0.7824114581615782,0.001755487946155741,0.0011154927384839928
aiconf,full_data_curve,35,0.0014310130257115662,0.7984271824017983,0.7830901201932395,0.0014438722656249057,0.001418153785798227
aiconf,full_data_curve,36,0.0013144081550145394,0.8148521707909755,0.800764835959854,0.00131299286281137,0.0013158234472177086
aiconf,full_data_curve,37,0.00142875557683906,0.7987451671591969,0.7834322994430488,0.000919324920731715,0.0019381862329464047
aiconf,full_data_curve,38,0.001758161275038209,0.7523450062061625,0.7335016914609793,0.0017792255039340156,0.0017370970461424023
aiconf,full_data_curve,39,0.0013329191222480844,0.8122447117709024,0.7979589833186885,0.0010050411307278892,0.0016607971137682794
aiconf,full_data_curve,40,0.0015242528761183756,0.7852933960411956,0.7689570240008519,0.0012940559380316388,0.0017544498142051121
aiconf,full_data_curve,41,0.0015729449422552495,0.7784346206215889,0.7615763852341011,0.0009679379328091469,0.0021779519517013523
aiconf,full_data_curve,42,0.0015787544496186823,0.7776162921039135,0.7606957925900808,0.0010864487300392208,0.002071060169198144
aiconf,full_data_curve,43,0.0017190023841462546,0.7578609364103526,0.7394373120067924,0.0014652620761424853,0.001972742692150024
aiconf,full_data_curve,44,0.0021571148642599023,0.6961483136356357,0.6730291635861733,0.0017051673094789612,0.002609062419040844
aiconf,full_data_curve,45,0.0012928944964115327,0.817882589594674,0.8040258301073122,0.001392895574939614,0.0011928934178834514
aiconf,full_data_curve,46,0.001340708693831849,0.8111474709605041,0.7967782567944555,0.0016358845741240547,0.0010455328135396437
aiconf,full_data_curve,47,0.0014997293784571703,0.7887477814535675,0.7726742430859042,0.0010096104477339467,0.001989848309180394
aiconf,full_data_curve,48,0.0016865960774582666,0.7624256960803779,0.7443493903473632,0.0016142886693558164,0.0017589034855607164
aiconf,full_data_curve,49,0.002336142066625049,0.6709305015269571,0.6458926049040081,0.0007669748241679228,0.003905309309082175
aiconf,full_data_curve,50,0.0012592824826378284,0.8226171854367672,0.8091206669373908,0.0012758100673606805,0.0012427548979149763
aiconf,full_data_curve,51,0.0016582001751990435,0.7664255492779326,0.7486535802012536,0.0016628611806391075,0.0016535391697589793
aiconf,full_data_curve,52,0.0015014674220441989,0.7885029602418446,0.7724107941732893,0.0015808681086398532,0.0014220667354485448
aiconf,full_data_curve,53,0.001647569676841052,0.7679229636745821,0.750264928301996,0.001764094383045762,0.0015310449706363416
aiconf,full_data_curve,54,0.002100564011970433,0.7041140794454193,0.681601020272788,0.0009469795982352689,0.0032541484257055968
aiconf,full_data_curve,55,0.0014469542236202316,0.7961817016684959,0.7806737876650118,0.0015931409112461914,0.001300767535994272
aiconf,full_data_curve,56,0.0016771016547128552,0.7637630826099725,0.7457885345476878,0.000988547150539927,0.0023656561588857833
aiconf,full_data_curve,57,0.0020147443409339544,0.7162026576661324,0.6946093816189904,0.0010273486937223569,0.0030021399881455524
aiconf,full_data_curve,58,0.001681963985632973,0.763078173579759,0.7450515128738712,0.0023868564765884936,0.0009770714946774524
aiconf,full_data_curve,59,0.0014072243174011476,0.8017780652204705,0.7866959614872454,0.0015584280333902918,0.0012560206014120032
