model,mse,r2_adj,alpha_e,alpha_a,alpha_b,omega1,omega2,omega3,omega4,omega5,omega6,gamma
aiconf,0.00021347598088026148,0.7384127669158922,0.2677451532682143,0.5400030349239515,0.010884792897983093,0.8586729179906983,0.2309815082824366,6.822534477422095e-13,0.5498842903241193,0.3513208753215544,0.5010039044383503,0.3430512677677008
selfconf,0.00040725373172813403,0.52936350325616,0.28615201684959163,0.547860013885923,0.0019084305302773464,0.5745314707760081,0.835809251790921,0.23718992232520608,0.3033888488232245,0.6891661918877331,0.19166557793041888,0.12663574089834573
