model,mse,r2_adj,alpha_e,alpha_a,alpha_b,omega1,omega2,omega3,omega4,omega5,omega6,gamma
aiconf,0.00017186067964473887,0.7808938693002375,0.2701293078989641,0.5359071913261889,0.013005273424193999,0.8617588334428832,0.23096828676591039,2.2894448317311737e-16,0.5463247800027485,0.35091975070845005,0.5167568564100344,0.3361595102132434
selfconf,0.0003718462351988076,0.5531684318113524,0.28789585552550456,0.5304889619210623,6.768900829174562e-13,0.573035913327379,0.8314480226800978,0.2411085616438479,0.30081307337508595,0.6992808802745939,0.19125454475208647,0.11355651735891588
