model,condition,target,trial,mean_pred
PHYS FULL,1,self,22,0.4404724108271779
PHYS FULL,1,self,23,0.4143160139386356
PHYS FULL,1,self,24,0.4457148315105559
PHYS FULL,1,self,25,0.3996586427675687
PHYS FULL,1,self,26,0.43275479492097063
PHYS FULL,1,self,27,0.42162719871984244
PHYS FULL,1,self,28,0.4203433015237581
PHYS FULL,1,self,29,0.4240684337035266
PHYS FULL,1,self,30,0.38761596127658854
Data,1,self,0,0.49
Data,1,self,1,0.5
Data,1,self,2,0.46
Data,1,self,3,0.505
Data,1,self,4,0.44
Data,1,self,5,0.57
Data,1,self,6,0.485
Data,1,self,7,0.445
Data,1,self,8,0.58
Data,1,self,9,0.49
Data,1,self,10,0.455
Data,1,self,11,0.47
Data,1,self,12,0.435
Data,1,self,13,0.475
Data,1,self,14,0.495
Data,1,self,15,0.46
Data,1,self,16,0.515
Data,1,self,17,0.46
Data,1,self,18,0.54
Data,1,self,19,0.45
Data,1,self,20,0.53
Data,1,self,21,0.47
Data,1,self,22,0.445
Data,1,self,23,0.425
Data,1,self,24,0.435
Data,1,self,25,0.42
Data,1,self,26,0.49
Data,1,self,27,0.41
Data,1,self,28,0.365
Data,1,self,29,0.41
Data,1,self,30,0.33
ORIG-BASE,2,ai,0,0.66
ORIG-BASE,2,ai,1,0.5631602294970286
ORIG-BASE,2,ai,2,0.5326297906450789
ORIG-BASE,2,ai,3,0.48665061675509946
ORIG-BASE,2,ai,4,0.5792429473969151
ORIG-BASE,2,ai,5,0.46858318205245053
ORIG-BASE,2,ai,6,0.476017621449771
ORIG-BASE,2,ai,7,0.4162864892449769
ORIG-BASE,2,ai,8,0.4020965395823153
ORIG-BASE,2,ai,9,0.5134160438434907
ORIG-BASE,2,ai,10,0.552208873730279
ORIG-BASE,2,ai,11,0.44741529270646657
ORIG-BASE,2,ai,12,0.4194150317739527
ORIG-BASE,2,ai,13,0.38818046437099446
ORIG-BASE,2,ai,14,0.37933610124684347
