channel,term,coef,std_err,t,p_value,n_cases,df_resid
AI channel,intercept,-0.009284515717840638,0.004340617511201418,-2.1389849932367855,0.03329266739787346,287,283
AI channel,empirical_abs_delta,0.04630018520847499,0.01825077742018466,2.536888382478916,0.011721588056482138,287,283
AI channel,align_count,6.471579968115454e-05,0.00017878677394337947,0.3619719638861518,0.717643112755681,287,283
AI channel,interaction,-3.14177516680756e-05,0.0007767331680247944,-0.040448577402674664,0.9677640233464511,287,283
Self channel,intercept,0.006379391610230791,0.010931584705393153,0.5835742741931539,0.5599715725166379,287,283
Self channel,empirical_abs_delta,-0.007134929058086636,0.04959588495572588,-0.1438613115676022,0.8857123736494085,287,283
Self channel,align_count,-0.0007972833559247812,0.00047937260456289095,-1.6631808917236157,0.09738323051467265,287,283
Self channel,interaction,0.006105373846881601,0.0019853323043195095,3.075240267635837,0.002308934824773591,287,283
