model,align,slope_mag,ci_low,ci_high,n
GT,align=1,0.13952517788724686,0.11495356116584562,0.16549269636015326,87
ORIG-BASE,align=1,0.06709724612743473,0.061485450473182754,0.07299621135135906,87
PHYS FULL,align=1,0.09760966608741273,0.09226426326127807,0.10325583957868237,87
