model,action,gap,ci_low,ci_high,n
Experiment Data,accept,0.039112388250319284,0.027773786717752234,0.05045098978288631,1566
Experiment Data,reject,-0.0025193798449612403,-0.01376453488372093,0.009302325581395349,1290
Experiment Data,modify,0.04861111111111111,0.012152777777777778,0.08854166666666667,144
Baseline Model,accept,0.05535280910708714,0.05290776875559702,0.05778971264880473,1566
Baseline Model,reject,-0.015131765870774975,-0.01860509635836354,-0.011563089069151657,1290
Baseline Model,modify,-0.007849131372131729,-0.017103138152957782,0.0010118074666756165,144
Reformulated Model,accept,0.04274434181975075,0.03979222244843906,0.04577271282577979,1566
Reformulated Model,reject,-0.012723440411362988,-0.016183384247189,-0.00909223003723225,1290
Reformulated Model,modify,0.062244633520120246,0.05276130939894202,0.0708751106994066,144
