channel,term,coef,std_err,t,p_value,n_trials,df_resid
AI channel,intercept,-0.006072462915804842,0.012156114752308239,-0.4995397822031735,0.6219480055445312,28,24
AI channel,empirical_abs_delta,-0.01570158825422981,0.07884784176896813,-0.19913783182851086,0.843832396319483,28,24
AI channel,align_count,-0.0003146088814076353,0.0013048125099352488,-0.24111424362665543,0.8115145732939845,28,24
AI channel,interaction,0.008850511435418804,0.010165906980404834,0.8706071629888504,0.3925938191741877,28,24
Self channel,intercept,0.06410069016858524,0.03826772049970035,1.6750590140086128,0.10690547532360742,28,24
Self channel,empirical_abs_delta,-0.34590551186795776,0.24589665253318962,-1.4067109426032938,0.1723309174983403,28,24
Self channel,align_count,-0.007856399752992349,0.005397748260282966,-1.4554957686338068,0.1584889596246405,28,24
Self channel,interaction,0.061381311150634894,0.03371522807177169,1.820581222822183,0.08116346652281252,28,24
