model,group,mean_abs_delta,ci_low,ci_high,n
GT,high-streak,0.09696663894974361,0.08496650019893366,0.11126360754753539,100
ORIG-BASE,high-streak,0.04244301527363639,0.03985596696031302,0.04498003769604755,100
PHYS FULL,high-streak,0.05054920414091014,0.048134563378007506,0.052923777982349145,100
