channel,x,y,n_trials,pearson_r,pearson_p,spearman_rho,spearman_p
AI,align_count,mean_improvement,28,0.006304181230861489,0.9746012988644795,0.023901275686336175,0.9039093184744316
AI,empirical_abs_delta,mean_improvement,28,0.23945407931812296,0.2197271501624007,0.25432735578829263,0.19154728023052947
Self,align_count,mean_improvement,28,0.062128796773222014,0.7534681920432823,0.1104403773092775,0.5758425096414607
Self,empirical_abs_delta,mean_improvement,28,-0.1332262567432138,0.4991367220870703,-0.05629581430123902,0.7760014814766543
