condition,target,trial,model,mean,se
1,self,17,experiment data,0.46,0.03452298849598449
1,self,17,baseline model,0.4723087763924743,
1,self,17,extended model,0.4797208333727352,
1,self,18,experiment data,0.54,0.03452298849598448
1,self,18,baseline model,0.4952959997088983,
1,self,18,extended model,0.5199789011004389,
1,self,19,experiment data,0.45,0.034992710611188256
1,self,19,baseline model,0.4783956907527763,
1,self,19,extended model,0.4754304121345521,
1,self,20,experiment data,0.53,0.03398679215248663
1,self,20,baseline model,0.5156981655174672,
1,self,20,extended model,0.5347600823967705,
1,self,21,experiment data,0.47,0.03165502829451477
1,self,21,baseline model,0.4503394818028433,
1,self,21,extended model,0.45809735781026734,
1,self,22,experiment data,0.445,0.03447122432003901
1,self,22,baseline model,0.4457283964605026,
1,self,22,extended model,0.4404724108271779,
1,self,23,experiment data,0.425,0.03292694449033175
1,self,23,baseline model,0.42377357308238645,
1,self,23,extended model,0.4143160139386356,
1,self,24,experiment data,0.435,0.03411415410359872
1,self,24,baseline model,0.4637730739509965,
1,self,24,extended model,0.4457148315105559,
1,self,25,experiment data,0.42,0.03229329872987805
1,self,25,baseline model,0.41430755255981305,
1,self,25,extended model,0.3996586427675687,
1,self,26,experiment data,0.49,0.03347249861102853
1,self,26,baseline model,0.4553579314822501,
1,self,26,extended model,0.43275479492097063,
1,self,27,experiment data,0.41,0.037634113920912836
1,self,27,baseline model,0.4451008866012872,
1,self,27,extended model,0.42162719871984244,
1,self,28,experiment data,0.365,0.03725943244498564
1,self,28,baseline model,0.4338762545672737,
1,self,28,extended model,0.4203433015237581,
1,self,29,experiment data,0.41,0.03407674411964732
1,self,29,baseline model,0.46287394348204897,
1,self,29,extended model,0.4240684337035266,
1,self,30,experiment data,0.33,0.034582052676886306
1,self,30,baseline model,0.4084538820131511,
1,self,30,extended model,0.38761596127658854,
