channel,participant_index,trial,align_count,improvement,empirical_abs_delta
AI,20,1,2,0.027264171430260276,0.25
AI,24,1,2,0.02289627848485909,0.25
AI,36,2,2,-0.025218267961278684,0.0
AI,46,2,2,-0.02931135877734037,0.25
AI,0,3,17,-0.02691681454586836,0.0
AI,1,3,17,0.027832101248519425,0.25
AI,5,3,17,-0.0016014938523370437,0.25
AI,7,3,17,0.018202247518910974,0.0
AI,11,3,17,0.02821900255633647,0.0
AI,12,3,17,0.0199477253964625,0.0
AI,15,3,17,-0.027832101248519425,0.0
AI,23,3,17,-0.018202247518910974,0.0
AI,25,3,17,-0.012862058011578581,0.25
AI,28,3,17,-0.019691093904585455,0.0
AI,30,3,17,0.022295338334972548,0.25
AI,34,3,17,-0.02378418472064725,0.0
AI,36,3,17,-0.03708901058071312,0.0
AI,38,3,17,-0.024258079918258457,0.0
AI,40,3,17,-0.022823723729806678,0.0
AI,42,3,17,-0.02378418472064725,0.0
AI,49,3,17,-0.028792562239359998,0.0
AI,92,4,1,-0.03845814724896557,0.0
AI,0,5,32,0.023774400862186185,0.0
AI,2,5,32,0.019677396174762274,0.25
AI,3,5,32,0.019894092326820934,0.0
AI,5,5,32,-0.07326762871319759,0.0
AI,7,5,32,0.02062079968098507,0.0
AI,8,5,32,-0.027264222601584787,0.25
AI,9,5,32,0.01571532621212346,0.0
AI,10,5,32,-0.023717522831116833,0.0
AI,11,5,32,-0.040448623423267493,0.25
AI,12,5,32,0.0011047192547580797,0.0
AI,14,5,32,0.052013760715773016,0.25
AI,15,5,32,0.032585066262617146,0.25
AI,16,5,32,-0.02423475058793656,0.0
AI,18,5,32,0.057828000713533556,0.25
AI,21,5,32,0.02385616228945986,0.25
AI,22,5,32,0.02827487724429112,0.25
AI,24,5,32,0.022781887021266267,0.5
AI,25,5,32,0.0025170133640101122,0.25
AI,27,5,32,0.019894092326820934,0.0
AI,28,5,32,-0.026713574334244594,0.0
AI,30,5,32,0.029001584598455032,0.25
AI,32,5,32,-0.005035256604070504,0.5
AI,34,5,32,0.023192307359219733,0.25
AI,36,5,32,-0.03149154725894732,0.25
AI,39,5,32,0.025940293125669922,0.25
AI,40,5,32,-0.024582869643623884,0.25
AI,43,5,32,-0.030751188443199462,0.25
AI,45,5,32,0.03478710930567397,0.0
AI,46,5,32,-0.03480333463662788,0.25
AI,47,5,32,-0.019677396174762274,0.0
AI,48,5,32,0.00426828738731122,0.25
AI,49,5,32,-0.035449694862116465,0.0
AI,53,7,8,0.006189111867147434,0.0
AI,56,7,8,-0.013797385440607601,0.25
AI,59,7,8,-0.015386326554035823,0.25
AI,65,7,8,0.005747602531828988,0.25
AI,68,7,8,-0.0092155669508181,0.0
AI,69,7,8,-0.0027508952009067944,0.0
AI,79,7,8,-0.018929149922161437,0.0
AI,92,7,8,-0.03422569482079518,0.25
AI,0,8,41,0.05079263532874434,0.0
AI,2,8,41,0.019338905800073247,0.0
AI,3,8,41,0.0020435673817966737,0.0
AI,4,8,41,0.011942537511350992,0.0
AI,5,8,41,-0.0580341656998018,0.0
AI,7,8,41,0.03353724715595585,0.25
AI,8,8,41,-0.03850574613173319,0.0
AI,9,8,41,0.02186309942859177,0.0
AI,10,8,41,0.025448882595052624,0.0
AI,11,8,41,0.04290694158141051,0.0
AI,12,8,41,-0.040159523806885034,0.0
AI,13,8,41,-0.03473299080592307,0.0
AI,14,8,41,-0.04685632480208901,0.0
AI,15,8,41,0.021214813031519175,0.25
AI,16,8,41,-0.017999684715470976,0.0
AI,17,8,41,-0.07572451932323854,0.0
AI,20,8,41,0.035830286697128066,0.25
AI,21,8,41,-0.0317539663698283,0.0
AI,22,8,41,0.029842391499701026,0.25
AI,23,8,41,0.020495758360494554,0.25
AI,24,8,41,-0.00044385763436016745,0.5
AI,25,8,41,-0.010032894749396282,0.0
AI,27,8,41,0.006169974667702971,0.25
AI,28,8,41,-0.02293727931398437,0.0
AI,30,8,41,0.034358900506963774,0.5
AI,32,8,41,-0.00437577879004547,0.0
AI,33,8,41,0.03647293131118612,0.75
AI,34,8,41,0.0285123391987403,0.0
AI,35,8,41,-0.027340125867724274,0.0
AI,36,8,41,0.04114237614234917,0.0
AI,37,8,41,-0.029164782004251433,0.0
AI,38,8,41,0.035765633065913294,0.0
AI,39,8,41,-0.03771860870279253,0.0
AI,40,8,41,0.026919962711375423,0.0
AI,41,8,41,0.03686529296712826,0.0
AI,43,8,41,-0.005867526760665265,0.0
AI,45,8,41,-0.050906372044796755,0.25
AI,46,8,41,-0.031893158856239445,0.0
AI,47,8,41,-0.02396038201096884,0.25
AI,48,8,41,0.008693582143249445,0.5
AI,49,8,41,-0.046077270759473876,0.0
AI,69,9,6,-0.011067518817638844,0.25
AI,70,9,6,-0.012659788149958384,0.25
AI,73,9,6,-0.02248370239815667,0.5
AI,75,9,6,-0.045083501300988704,0.25
AI,86,9,6,0.033226500402845915,0.75
AI,92,9,6,-0.04851067249755647,0.0
AI,27,11,4,0.04070063896595988,0.0
AI,39,11,4,0.042250730344220666,0.25
AI,63,11,4,-0.0198237544231864,0.0
AI,88,11,4,0.013763453670648684,0.5
AI,40,12,3,0.031801914089448324,0.0
AI,77,12,3,-0.010631048234423679,0.0
AI,99,12,3,-0.019135000892885723,0.0
AI,2,13,11,-0.030030821911021244,0.25
AI,5,13,11,0.04864433690154213,0.25
AI,21,13,11,-0.0424446442622316,0.0
AI,36,13,11,0.03805753081685359,0.0
AI,37,13,11,0.037118325050132794,0.25
AI,39,13,11,0.048413950733379174,0.0
AI,66,13,11,-0.014420021021656126,0.0
AI,71,13,11,0.014045761126941503,0.0
AI,72,13,11,0.012965939016145345,0.5
AI,92,13,11,0.02912257545561253,0.25
AI,97,13,11,-0.018472088957719845,0.0
AI,19,14,3,0.012739998951209697,0.0
AI,36,14,3,-0.0062548078726268885,0.0
AI,46,14,3,0.036613582014112356,0.0
AI,55,15,10,-0.01618658293714681,0.25
AI,60,15,10,0.015754300765158824,0.5
AI,62,15,10,0.04522124668749261,0.0
AI,65,15,10,0.02806676384985446,0.5
AI,70,15,10,0.013507106192489737,0.25
AI,75,15,10,-0.030056663755638757,0.25
AI,76,15,10,0.02245985931373584,0.25
AI,80,15,10,-0.0064910515003571145,0.25
AI,86,15,10,0.05805096615348271,0.75
AI,96,15,10,0.029139497658018487,0.5
AI,5,16,29,-0.04485459992432694,0.0
