channel,metric,n_cases,n_trials,n_participants,var_trial_means,var_participant_means,trial_over_participant_var_ratio,oneway_R2_trial,oneway_R2_participant
AI,baseline_abs_error,287,28,87,0.009555158912952234,0.012779203306982446,0.747711628293086,0.18646364242201666,0.6126723884325748
AI,full_abs_error,287,28,87,0.00930808040262351,0.01347239070860074,0.6909004202707139,0.1680630299626622,0.6013430352139477
AI,improvement,287,28,87,0.0002871090038961196,0.0003710990359862603,0.7736721900478061,0.09075649542625444,0.3804668993313438
Self,baseline_abs_error,287,28,87,0.00686403056640238,0.015933712511762222,0.4307866456944903,0.10666205085738911,0.6808482769712363
Self,full_abs_error,287,28,87,0.006987714346549941,0.012261385712691043,0.5698959734475498,0.12929511567143934,0.6307641212353308
Self,improvement,287,28,87,0.00111123117044427,0.004862297825569454,0.22854033428405365,0.07500893771447564,0.6074627699917808
