model,action,G,G_ci_low,G_ci_high,n
GT,accept,0.03911238825031928,0.02825271392081736,0.050139687100893976,1566
GT,modify,0.048611111111111105,0.008680555555555552,0.09027777777777778,144
GT,reject,-0.002519379844961242,-0.01298449612403102,0.009307170542635653,1290
ORIG-BASE,accept,0.055468136056591635,0.0532073995442062,0.0579636751697764,1566
ORIG-BASE,modify,-0.022939386570019767,-0.03193724889645608,-0.014441469811408297,144
ORIG-BASE,reject,-0.01409929567667708,-0.01754157181879989,-0.010950999600545793,1290
PHYS FULL,accept,0.045005926157055044,0.042142285922524746,0.04787061082298411,1566
PHYS FULL,modify,0.06444560557469703,0.05527617013403667,0.07276470076883765,144
PHYS FULL,reject,-0.011446687471706768,-0.014902066477568665,-0.008312308117023107,1290
