alignment_status,action,positive,total,positive_percent,ci_low_percent,ci_high_percent
Aligned,Accept,232,285,81.40350877192982,76.4794677536266,85.49224528605824
Aligned,Modify,1,2,50.0,9.453120573423075,90.54687942657694
Aligned,Reject,0,0,,,
Non-aligned,Accept,693,1281,54.09836065573771,51.36131207160957,56.810902428409406
Non-aligned,Modify,36,142,25.35211267605634,18.911246066493515,33.091428230626605
Non-aligned,Reject,399,1290,30.930232558139537,28.467708070853114,33.505994607646116
