channel,model,value,n,sst,ss_trial_unique,ss_participant_unique,eta_trial_unique,eta_participant_unique,ss_trial_marginal,ss_participant_marginal,eta_trial_marginal,eta_participant_marginal,residual_eta
AI,Baseline,abs_error,287,4.366240578331159,0.4851139554218542,2.346043877092792,0.11110564036012688,0.5373143863706851,0.8141451219264395,2.6750750435973774,0.18646364242201643,0.6126723884325747,0.27622197120729847
AI,Baseline,signed_error,287,11.136321343172709,1.2775596855677644,6.039457816980174,0.11472008091352284,0.5423207207183147,1.9660210453912672,6.727919176803677,0.17654133576134334,0.6041419755661352,0.28113794352034194
AI,Full,abs_error,287,4.701656337426702,0.4425194945661095,2.4796531771360906,0.09411991494221121,0.5273999201934967,0.7901746099110856,2.8273082924810664,0.16806302996266242,0.6013430352139478,0.304537049843841
AI,Full,signed_error,287,11.81970246612191,1.256758752152726,6.557696200219857,0.10632744400757096,0.5548105985760454,2.0705433745554807,7.371480822622612,0.1751772839028861,0.6236604384713605,0.2700121175210685
Self,Baseline,abs_error,287,5.375776719688559,0.3372816653399313,3.4239786124485834,0.06274101082075288,0.6369272369346004,0.573391369873387,3.660088316982039,0.10666205085738865,0.6808482769712361,0.2564107122080108
Self,Baseline,signed_error,287,11.14671692683409,1.0719937802368515,6.33699949924104,0.09617125717584013,0.5685081572301922,1.2788936045781458,6.543899323582334,0.1147327605942335,0.5870696606485856,0.31675908217557447
Self,Full,abs_error,287,4.4361089550037995,0.32694542758156153,2.551516573820391,0.07370094623414891,0.5751699517980404,0.5735672204683242,2.7981383667071538,0.12929511567143934,0.6307641212353309,0.29553493253052016
Self,Full,signed_error,287,11.27982858792276,0.9020895890784963,6.554784172748398,0.0799736965900668,0.5811067182143675,1.0921257328790883,6.74482031654899,0.09682112847427667,0.5979541500985774,0.3220721533113558
AI,Improvement,abs_error_improvement,287,0.2842643946588603,0.023311682988258753,0.105666035580713,0.08200704494220816,0.3717174488472979,0.025798840233703713,0.10815319282615796,0.090756495426254,0.38046689933134376,0.5375260557264481
AI,Improvement,signed_error_change,287,0.20611309343810744,0.005733189189539842,0.12649694264990563,0.02781574471522562,0.6137258945555086,0.01994775943527352,0.14071151289563932,0.09678065135276583,0.6826908011930489,0.28949345409172544
Self,Improvement,abs_error_improvement,287,2.2007639154383596,0.10745007081104274,1.2792552515238036,0.0488239879149601,0.5812778201922648,0.16507696345738232,1.336882144170143,0.07500893771447603,0.6074627699917807,0.34371324209325915
Self,Improvement,signed_error_change,287,0.18214916023081684,0.037689322801350705,0.052567244309160946,0.206914611923499,0.2885944916932281,0.08493706184640276,0.099814983354213,0.4663049872904806,0.5479848670602097,0.24510052101629115
