Model,AI_MSE,AI_R2,Self_MSE,Self_R2,Mean_MSE,Mean_R2,Delta_MSE_vs_PHYS-BASE
ORIG-BASE,0.00021091799437069497,0.7632049047688112,0.0003974914870936551,0.5754435300643306,0.000304204740732175,0.6693242174165709,1.457571119216003e-06
PHYS-BASE,0.00020782367046151697,0.7670249107458311,0.00039767066876440104,0.5751758404719512,0.000302747169612959,0.6711003756088911,0.0
PHYS-BASE (B-ABSORBED),0.00020166982476267701,0.7734239961583417,0.000397536244606693,0.5753311178657564,0.000299603034684685,0.674377557012049,-3.144134928274021e-06
PHYS + ALIGN,0.00019879612231435997,0.7768920261896125,0.00030893000652093197,0.6695434608685064,0.000253863064417646,0.7232177435290594,-4.888410519531303e-05
PHYS + STREAK-GAIN,0.00020176244578364903,0.7731906127675536,0.000400029209740356,0.5727035836411034,0.0003008958277620025,0.6729470982043285,-1.8513418509564844e-06
PHYS + SLOW-ASYM,0.00020166982476267701,0.7734239961583417,0.00039754829905346294,0.5753180567097074,0.00029960906190807,0.6743710264340246,-3.13810770488903e-06
PHYS + DELTA-A,0.00020166949421356997,0.7734242972292361,0.0003975363728024739,0.5753310656126877,0.0002996029335080219,0.6743776814209619,-3.144236104937097e-06
PHYS FULL,0.00019209036406086,0.7834126548904226,0.000184975572619884,0.8012024178184709,0.00018853296834037202,0.7923075363544467,-0.00011421420127258699
