channel,term,n_alignment_cases,coef,se,t,p
AI,intercept,287,-0.009284743903478778,0.004340755251144684,-2.138969687597644,0.033293918732414295
AI,empirical_abs_delta,287,0.046300082382936855,0.01825135656843725,2.536802248606841,0.011724406641040647
AI,align_count,287,6.471367496707625e-05,0.0001787924473481512,0.3619485941767071,0.7176605575640099
AI,interaction,287,-3.123944693624557e-05,0.0007767578159423377,-0.040217743928777694,0.9679478890390141
Self,intercept,287,0.006379468403032309,0.01093195411460636,0.5835615788497135,0.5599801041925313
Self,empirical_abs_delta,287,-0.007125419718274345,0.04959756094116798,-0.1436647202616764,0.8858674755308644
Self,align_count,287,-0.0007972667120772752,0.00047938880392112956,-1.6630899711384246,0.09740144384430395
Self,interaction,287,0.006105269576795365,0.0019853993943219116,3.075083831623986,0.002310106587924934
