rate,numerator,denominator,percent,ci_low_percent,ci_high_percent
aligned_accept_rate,285,287,99.30313588850174,97.4951854806159,99.80868623956808
nonaligned_accept_rate,1281,2713,47.21710283818651,45.34382632066815,49.098249071337044
aligned_modify_rate,2,287,0.6968641114982579,0.19131376043191145,2.504814519384083
nonaligned_modify_rate,142,2713,5.23405823811279,4.457511326872461,6.137198124655054
aligned_reject_rate,0,287,0.0,0.0,1.320808538187952
nonaligned_reject_rate,1290,2713,47.5488389237007,45.67444047539875,49.43016897583762
