model,mse,r2,alpha_fast,alpha_slow,omega1,omega2,omega3,omega4,beta,gamma
aiconf,0.001349995966312679,0.8098392636639058,0.25193719095625317,0.3544794698236127,0.8726523500821335,0.19886175208230314,2.3727345922532537e-26,0.5722114604261037,7.118315961019525e-21,0.2712398672929415
selfconf,0.0011730871993194732,0.5203623117447185,0.7560672555140089,0.4730376677057608,0.21675965161447172,0.31357378236987105,0.08656496811815109,0.11174506147391797,2.0269687567150585e-24,0.1181941097334161
