parameter,vif
alpha_fast,4.156325573615412
alpha_slow,1.5238650377550174
omega1,1.4184124099381468
omega2,2.607998086693283
omega3,2.2122179716268375
omega4,2.598945596939467
beta,1.2822896328089546
gamma,1.6395450138974177
