iteration,aiconf_mse,aiconf_r2,selfconf_mse,selfconf_r2
1,0.0013265893805987964,0.840185824741745,0.0017908553041420556,0.3869976656633505
2,0.001275522287347429,0.7862634233348689,0.0010763212215411091,0.5113556318028523
3,0.0012777143829146012,0.8169392650453664,0.0013202048934333856,0.4532871682167774
4,0.0019245485572242477,0.7323427186196247,0.0012608398632638724,0.4673814405911304
5,0.0013894602335175134,0.825611083130348,0.0016620258610265414,0.3985277263346829
6,0.002065744409765596,0.730205599195225,0.0017091388951431476,0.3894740214930561
7,0.0018264172320755997,0.7659914651178045,0.001352742198418088,0.4580916804721904
8,0.0012101742879128462,0.8230822887004597,0.0010402808941422973,0.5074416848502562
9,0.0021932991967479,0.706775318261315,0.001530603536887571,0.4261226841737843
10,0.0013390057888157851,0.8011595329238835,0.0009545391447723142,0.5727163950419698
11,0.0016530482987518224,0.7227521315893501,0.001627965119863686,0.43949257138669684
12,0.0018020886953208155,0.7358444214155178,0.001146588701799477,0.47504269384367115
13,0.001401098354705787,0.7553637188071625,0.0010914623841943997,0.529833125889227
14,0.0018284551258753625,0.6970497731715022,0.0016265496228453544,0.42974426747616534
15,0.0014702851525515868,0.7881344729457221,0.0014163287345194818,0.42270135134534115
16,0.001171797951288403,0.8579437062414969,0.001401792971035515,0.472447198630237
17,0.002334474174119992,0.6916354174004287,0.0011135653573181418,0.5127102919341539
18,0.0010260573760729867,0.8667097319309787,0.0011059500838763283,0.5432596043572997
19,0.001820735334630141,0.7404517706935861,0.0014845710703447,0.47502850954275355
20,0.0018718037034548042,0.7376335886700076,0.0013348059597317109,0.5234131787825006
21,0.001467173515686229,0.7949109861285508,0.0012326708095905378,0.5054410951593118
22,0.0017214212825269282,0.7487566892648574,0.0012023636274275723,0.5611628561350652
23,0.0020573347678022685,0.7373627954497596,0.001160436133519599,0.5229121715002658
24,0.0016361770038355703,0.7662564035016969,0.001472616709072324,0.4366026780053649
25,0.0015914701147086768,0.7767470930331669,0.001215563792394105,0.5061543933937989
26,0.001498772800752214,0.7853739277509454,0.0011742395083892394,0.46910885345928577
27,0.0015656333080891892,0.7944050061834739,0.001440586152333532,0.49273491328962926
28,0.0019999694395721355,0.7443294153319007,0.0013283024560738542,0.44358041759496414
29,0.0009858796834677373,0.8576691945017488,0.0010374931022824373,0.5793871876133911
30,0.0015418999181854387,0.7817623607489854,0.0012340053847286888,0.5227131593009697
31,0.0017898830930973423,0.7461010237808015,0.0012929873896225194,0.47831273716547285
32,0.0017976740785678356,0.7103068368897605,0.001102034158802231,0.5010190666935509
33,0.0019478808303524187,0.7500164356560672,0.0012665323690520059,0.5655211086020843
34,0.0012498095667219547,0.832579980318866,0.0013765960250274336,0.4974026889623584
35,0.0015485144404601857,0.7693632677201372,0.0011866463032806358,0.43626440348493556
36,0.001907182938562918,0.7087021412773797,0.0011036960067208955,0.4647620313139684
37,0.0013600056199701354,0.8141220904730073,0.001215937533039896,0.46992917762477504
38,0.0010952925612488253,0.8512112313648407,0.0011372915119093757,0.526230696743472
39,0.0012735726730404371,0.837210801260647,0.0016848610613859052,0.46565559954129876
40,0.0019097997510312092,0.6647329686404022,0.0013538549078109428,0.40716099521126436
41,0.0016497003337633289,0.7710993730485884,0.0013604710837513403,0.4886591564970524
42,0.00195611402857635,0.6933224875158694,0.0014218253638762781,0.4769128415720395
43,0.00122560475953091,0.8209265751411017,0.0010784541825443182,0.5404035112009493
44,0.0012953199674011313,0.8335298982770889,0.0013280144461879071,0.43717931396719556
45,0.0013238873719475506,0.8106783635401066,0.0012294928271953693,0.471815066071374
46,0.0016318944604326036,0.787305551900352,0.0015624302552046919,0.47221462646644974
47,0.0018201131766665871,0.7425974277695648,0.0013963814224819044,0.4905515067305689
48,0.001689222376145101,0.7378791365990218,0.001104985783553649,0.49759748452900254
49,0.0012485098793686054,0.8436704788227964,0.0012989142528406993,0.5137576466767191
50,0.0011782190760956724,0.8326629608151402,0.0012327111925610856,0.4538403754318079
51,0.0013476537532107757,0.803749162877874,0.0011677365733485476,0.48573654755876217
52,0.002334243037879811,0.6830451573763795,0.00150761414946279,0.40334328499119965
53,0.0014009758707547784,0.8051271945332715,0.0011276545077407664,0.5554828726956268
54,0.0012906606037297748,0.7968179794112973,0.0014969387572085402,0.48725325542050135
55,0.0015673819556894784,0.7719860441904296,0.0013777962949086879,0.38689853789983997
56,0.0013788415814182961,0.8231198349793067,0.0014996404480765641,0.47624186054714435
57,0.0017628327079029873,0.7864102924315267,0.001375529952437609,0.5143073023498871
58,0.0018229212406554796,0.7151453067315403,0.0013136904545047897,0.4845460209347987
59,0.0016700943406299923,0.7489355580330259,0.0012041567580157197,0.5235141547134794
60,0.0014524845369959347,0.7954384685816417,0.0014755601989772404,0.45947425934184005
61,0.0016785696559008226,0.777203745646813,0.0015408818111653827,0.48669476376481047
62,0.0011697335164830409,0.8324655577299613,0.0013072457126991836,0.4645438749782872
63,0.001890651924084279,0.7620312395042517,0.0015722147132969848,0.48022523376173365
64,0.0019044229722964883,0.7509657853891529,0.001337752741178746,0.46176774812419763
65,0.0015279013492485872,0.795022845109333,0.001129943277929688,0.5063938555452603
66,0.0010362357631092326,0.8491737505304071,0.001394273809500425,0.5256135277876126
67,0.001764834900381901,0.767339472397742,0.001396120864025291,0.5294944731964224
68,0.0017951482119633263,0.7249864264791741,0.0013123185212476373,0.5194837548694728
69,0.002277036417223,0.6937294563047711,0.0016037713644885,0.422520496701413
70,0.0019267685295662014,0.738241052624472,0.001374837435503217,0.47651639774924803
71,0.001660679359737976,0.7740146505084762,0.001223145719084631,0.49437626704285254
72,0.0016947111329744101,0.74402013620568,0.0013468200527765601,0.5275754519217473
73,0.001046088062957694,0.8609083643734219,0.0012342505893765214,0.4368816848611501
74,0.0021297671670304137,0.695100818136809,0.0014116905992983225,0.41687450674232807
75,0.00194230818285671,0.728179896149809,0.0012393453172877204,0.45847024389688107
76,0.0011104829378358221,0.8724061355698478,0.0012682535121875502,0.5298282701538901
77,0.0013330139923691876,0.8077911726680639,0.0012952414380776871,0.49164959574553135
78,0.001423341251110606,0.8154921437743423,0.0012344616019941135,0.5421940933274689
79,0.0017438329667828927,0.7662097206958337,0.0013166069606446646,0.487746557241834
80,0.0018486401815976626,0.7158561206572743,0.001568035963824251,0.4681559306014771
81,0.0016237499693995685,0.7745169460403937,0.0013453579828912356,0.5149252158301223
82,0.001619282530985217,0.7510555229084324,0.001462086539784724,0.43982638596277
83,0.00144358251291813,0.7897831728168694,0.001313981517295791,0.5256443331388259
84,0.0016271374400347572,0.7432727980729379,0.0013220654879718128,0.45360325518269096
85,0.0011547636745289816,0.8450468531257013,0.001054746608433402,0.5876638650248739
86,0.002137598193061996,0.7060967750019015,0.0013723229751008569,0.4792204422159244
87,0.0018837056922120267,0.768123176811242,0.0012845636966946677,0.4498223107727034
88,0.0015362398948502584,0.7997824177575567,0.0011410203725542988,0.5339656848007384
89,0.0015071831991366497,0.7815977750681795,0.001296510957356593,0.44319499336752055
90,0.0015671862164067373,0.7574416549548906,0.0013481119224825443,0.4625557643675626
91,0.0012610205522430712,0.8498676677033272,0.001469105871351205,0.4046595312508715
92,0.0015491286440584518,0.7672435336180513,0.0011318175869065414,0.4988887611609344
93,0.0014629520668978057,0.8065181630819979,0.0012856798795338553,0.42225491543132343
94,0.0015372642196499777,0.766236437227015,0.0011084186888840276,0.5055290740497205
95,0.001418714633810071,0.8226435420534741,0.0013460332408395512,0.5536818564713835
96,0.0015789818698693542,0.8034759703008387,0.0012826835343141176,0.5182605587833491
97,0.0016886642687847062,0.7904293005207289,0.001097637025700191,0.5317890610700813
98,0.0014930328703899572,0.7978267376216387,0.0011528170478933223,0.5242752020156334
99,0.0016420233558103827,0.7887427867888439,0.0012917727577743325,0.4557277372873415
100,0.0013295201727805896,0.8197793053765345,0.001161485359432227,0.5575085648952008
