parameter,vif
alpha_fast,17.925229203792462
alpha_slow,53.78334919437205
omega1,12.2813105765546
omega2,7.740292886597453
omega3,13.400703258353921
omega4,8.142164719916101
beta,1.084280788169045
gamma,2.6838860889088103
