model,mse,r2,alpha_fast,alpha_slow,alpha_a,omega1,omega2,omega3,omega4,beta
aiconf,0.0013500026612748184,0.8098383206100286,0.25193147827690304,0.5393569400984652,0.08636133064126218,0.8726495389724388,0.19885351839262191,2.7862643561165494e-24,0.5722224066394219,2.3421209242873704e-28
selfconf,0.0011730413569418262,0.5203810552209506,0.2829920234781036,0.5512203977733589,0.04010888243299987,0.5790533232689501,0.8377066937331625,0.23120195635093607,0.29849157166751183,2.4434136691863805e-22
