parameter,vif
alpha_fast,5.043441314852724
alpha_slow,2.498814227169432
alpha_a,3.2753756888837695
omega1,1.4094476047327726
omega2,2.6177046423255432
omega3,2.1907735306610427
omega4,2.6342113335449544
beta,1.2849465515904135
