parameter,vif
alpha_fast,8.409088169518208
alpha_slow,3.3386320777809213
alpha_a,1.3982441519097863
omega1,1.591309592743349
omega2,3.1315920804447286
omega3,4.458828024674879
omega4,2.1531092676342998
beta,1.1478088150817547
