alpha_fast,alpha_slow,alpha_a,omega1,omega2,omega3,omega4,beta
0.28507619691693376,0.5333045593717213,0.047025832903412175,0.5847709649082753,0.8759964313392046,0.25438997305237665,0.2451768803837855,4.6937604898900885e-20
0.22336133403040856,0.5914775345600345,0.045796790850700986,0.6346196235121073,0.8962068821532188,0.18927182659135164,0.20741912026387532,4.984425557415412e-23
0.23450023888153637,0.6216618458039347,0.053012198722731496,0.5937772278245376,0.9080931711557457,0.18751184784931446,0.23529857116518427,2.1709646640732807e-23
0.24156102946342814,0.6249226622746838,0.04116891737028436,0.5858932133064148,0.878347790324271,0.2125873631414935,0.28602371716754693,5.466715320371863e-19
0.2871378723114007,0.5362518818460883,0.04522533750185225,0.5625838372523451,0.8528149653964552,0.24129617525681168,0.27946808707184706,6.377127742396376e-21
0.32472141255563003,0.5118585601756626,0.0575342739271675,0.5623898166877177,0.8016650767981474,0.26693629980426886,0.3280470198269788,6.164029582697312e-22
0.2808663450036383,0.6301048171451658,0.038408577074056156,0.5810044804681075,0.8452602095060247,0.21931148648268395,0.32373042826537596,1.5474156493011516e-21
0.34918775568168015,0.4052791656854418,0.022769314780517528,0.6004052767092847,0.7971244978957072,0.30381257649117865,0.33968278016217757,7.713966793963277e-23
0.3680473453643931,0.48990965421689003,0.035048799819821425,0.5277543152818258,0.7182003800087662,0.29341228877174347,0.3423984736341641,1.2221773581095247e-19
0.2549895407346483,0.5132722908895058,0.032580268247111493,0.580546786014584,0.8318082681443744,0.20426316546902137,0.2727621505576162,3.164976225669517e-23
0.34507125978519493,0.5451656529218656,0.0469988025173739,0.539686474270774,0.786654847459834,0.288030223132065,0.3494330206135639,4.4053689780541795e-24
0.29100890127979306,0.5187664654314377,0.037496896587416666,0.5810014004367923,0.8085062550164915,0.24508678970302425,0.30562405189666136,3.2642886989028605e-24
0.23578934316510822,0.6976133147895247,0.0436923248921522,0.5838555812186359,0.8820059803550481,0.19827888126860183,0.26711974555869944,6.568644119715645e-24
0.27789822928551927,0.6051690582330385,0.030117930433846266,0.5381033163616069,0.7692034748618446,0.23509947685765487,0.306796868460014,2.1866086639839492e-18
0.27740976487733526,0.5333224507053779,0.0336231168767294,0.5941315992656874,0.8674770272108426,0.2651709380115539,0.2863207555879409,5.629118930472251e-22
0.31744133595465285,0.5525049907050728,0.035559160828092955,0.5829288058465433,0.7758112040438991,0.2592240984287592,0.32922950250318755,4.0624605765117896e-24
0.2265372980819297,0.6182385877849702,0.043366945894579435,0.6243473353299298,0.8782942964736673,0.1528538909107995,0.2902589013596465,3.5827055974794433e-25
0.23313719189477203,0.5829429835949895,0.04690749343255812,0.6159163085738777,0.8757962541218,0.18625024077076266,0.21453429272059127,8.111380917464063e-21
0.24679035776607525,0.6213924113968184,0.04313335533141574,0.5640729751199294,0.8843931347984076,0.1743126731506981,0.3036488918096026,5.973468231298655e-19
0.2458161960421128,0.6113429923768668,0.04048926623207473,0.5915510994430602,0.8817776581492058,0.17846649867336065,0.24233646587866145,3.531343703044858e-24
0.30325267027751124,0.4943645647620782,0.03485399611501824,0.595167592637908,0.7810003239895552,0.2787667122594484,0.2909565008937201,6.0813005579234454e-21
0.21869038429240087,0.6575196341283096,0.04352512077280163,0.5975426817110878,0.8736331628123098,0.15051116592296196,0.25395303756975807,7.880765366632428e-24
0.27415991069905044,0.5498514984758612,0.04328026463320268,0.6054776474898561,0.8880876859450613,0.26214364610450386,0.3128251072066265,3.4144682861799363e-19
0.28022065258835965,0.527881811558871,0.026258016513265498,0.5710712211621797,0.8457663711365896,0.2604631852970976,0.3026191519753274,3.714524289026437e-24
0.31161428512204015,0.5832879969034316,0.05494735591351287,0.5639005021608827,0.8113555429393283,0.22731254345214802,0.28414833181010235,2.0586736286851503e-20
