alpha_fast,alpha_slow,alpha_a,omega1,omega2,omega3,omega4,beta
0.27903555279350695,0.6284958001161641,0.09788322880654156,0.8952363807197361,0.29228564402838914,7.092632687853498e-11,0.5055099329045819,3.6608332195453e-22
0.23371487133243654,0.5637868348006717,0.08681866589237336,0.8950152479224089,0.20277132254593686,0.01367044851447713,0.540808491219637,7.579898937869791e-25
0.26228103742772857,0.6303965680082636,0.09959331973079512,0.8812790885434173,0.2322014013648984,0.02530661346590048,0.5312906817400769,4.939533333925453e-31
0.2657517378865576,0.602439271330401,0.0974832846284798,0.8734565618074576,0.25319799915944347,6.712543075505922e-12,0.560152123405812,1.574389423990572e-18
0.2638022235227099,0.45059561673821613,0.07510699639162226,0.8519231525648656,0.22726234773583945,3.848997066156045e-12,0.5447321599139041,2.136714203370085e-25
0.2504364152492601,0.60218932250433,0.08486313002898414,0.873655003901966,0.16022747929706305,1.0820058584762657e-11,0.5939067931838676,1.8100247871207422e-20
0.24029580317581006,0.5116904478434086,0.08774588292669035,0.8738537295246316,0.0838815444393254,3.014611032272967e-11,0.6207630376319891,2.0410827099028363e-21
0.262380573765893,0.5401529339766963,0.07683617986084301,0.8857682320591727,0.14821762326740928,0.046104898090014536,0.5551253102539215,7.164615600983948e-27
0.2644229518545956,0.548210764066861,0.08430366877673044,0.870866878426096,0.2554915619513908,8.461452828468497e-11,0.5563748712589737,1.1550920110586853e-18
0.2293070480928144,0.5204428214518073,0.07189093965629957,0.8715139556618504,0.17535461811922032,9.900472534043779e-12,0.5795031966632308,2.929288832691334e-25
0.23362111842631078,0.5787904042810498,0.09905837632595038,0.8650998097414795,0.2443511932965548,1.5458170215853416e-09,0.6197832736009095,2.883082834959134e-28
0.24314241914165496,0.6280092315128427,0.10063599275670904,0.8625010283436774,0.20609059312786604,7.767413618332955e-12,0.6039975186039763,2.269542377931756e-19
0.2268299070519922,0.5081261312417739,0.07522917266276459,0.8859262640074876,0.15924514123695357,1.4729912543182905e-10,0.5830954803012776,8.69755308934795e-22
0.21195367973388166,0.6522774824566728,0.07118596689506689,0.8879767962709028,0.16881888458888053,2.592173015727051e-12,0.5819244303743047,9.99999918048712e-13
0.2415399750205554,0.44507406925262977,0.07306590671983415,0.8691905466201036,0.17722617926911968,6.172297749571946e-21,0.5528812171678197,8.299292734911483e-35
0.27469458184697476,0.45547873221576474,0.08513551572816319,0.8393820496020691,0.22100313289473256,4.927596782748345e-15,0.6088159039193909,1.9737366387729596e-25
