0.27685,0.3359,0.0086658,0.87257,0.23722,2.2206e-14,0.56562,0.33597
0.27564,0.36401,0.0079906,0.86302,0.25527,2.2208e-14,0.56896,0.31148
0.29351,0.35597,2.4336e-14,0.88281,0.30129,2.2205e-14,0.54739,0.32252
0.26805,0.40291,0.010304,0.86782,0.19808,2.2208e-14,0.55464,0.33414
0.29432,0.34177,0.014035,0.85164,0.23595,2.2207e-14,0.51648,0.35368
0.26608,0.32292,0.0018104,0.87137,0.18728,2.2205e-14,0.59325,0.33975
0.26569,0.35958,2.5328e-14,0.8784,0.20729,2.2205e-14,0.56134,0.30339
0.27699,0.32534,0.020491,0.86623,0.27215,2.2209e-14,0.56418,0.44901
0.26095,0.36734,0.013328,0.90163,0.27508,2.2207e-14,0.51836,0.3426
0.29152,0.36091,0.014979,0.83984,0.28324,2.2205e-14,0.52576,0.34038
0.2792,0.36154,0.0063673,0.86722,0.31105,2.2205e-14,0.50299,0.35449
0.26469,0.36447,0.0077096,0.8727,0.27099,2.2207e-14,0.54104,0.35309
0.27691,0.3317,1.6236e-08,0.82993,0.22449,2.2205e-14,0.5727,0.32195
0.26718,0.34896,0.019219,0.88984,0.26762,2.9446e-14,0.53666,0.34903
0.27118,0.3786,0.019009,0.86612,0.22598,2.2209e-14,0.51855,0.2927
0.2702,0.35584,0.0073945,0.86435,0.22318,2.2208e-14,0.5275,0.35357
0.24303,0.36352,0.0066659,0.87681,0.19685,2.2206e-14,0.54618,0.36796
0.28989,0.34478,0.012749,0.84547,0.21705,2.221e-14,0.55105,0.38549
0.25803,0.35207,0.041628,0.8762,0.22658,2.2273e-14,0.54296,0.38336
0.2482,0.37578,0.023625,0.86382,0.23204,2.2206e-14,0.549,0.37691
0.2802,0.36969,0.020245,0.84049,0.21384,2.2209e-14,0.5012,0.31993
0.28033,0.35893,3.4255e-14,0.86024,0.20068,2.2208e-14,0.5928,0.35037
0.24496,0.35147,0.013844,0.88669,0.22644,2.2209e-14,0.52681,0.40955
0.26465,0.3247,0.024464,0.84972,0.21808,2.2206e-14,0.57766,0.35177
0.25145,0.30624,0.0046358,0.85594,0.20987,2.2206e-14,0.58033,0.33915
0.26634,0.34139,2.225e-14,0.85768,0.17423,2.2205e-14,0.57463,0.35056
0.27928,0.37381,0.023345,0.86843,0.29206,2.2205e-14,0.53126,0.38248
0.26267,0.39057,0.027458,0.84569,0.22009,2.2206e-14,0.55475,0.33499
0.26302,0.38375,0.018705,0.85552,0.1957,2.2209e-14,0.54806,0.39233
0.27081,0.40011,0.017464,0.88131,0.24161,2.2206e-14,0.51753,0.32874
0.29323,0.37727,0.018353,0.87502,0.24737,2.2209e-14,0.53894,0.34597
0.27888,0.35755,0.0066181,0.86046,0.21475,2.2208e-14,0.58321,0.3196
0.25681,0.37833,0.035516,0.86013,0.24701,2.2206e-14,0.53203,0.37137
0.28443,0.35162,0.010831,0.87863,0.25755,2.2206e-14,0.48836,0.37521
0.26499,0.36961,4.1437e-13,0.8455,0.22561,2.2206e-14,0.55627,0.29797
0.2764,0.34038,0.0062057,0.87624,0.24068,2.2206e-14,0.52436,0.31102
0.25845,0.35438,0.017897,0.89013,0.19154,2.2206e-14,0.54824,0.33514
0.24528,0.39762,0.007372,0.82518,0.20237,2.2208e-14,0.55423,0.29475
0.27055,0.37268,0.0075845,0.88178,0.22582,2.2205e-14,0.542,0.31493
0.26698,0.33098,0.016845,0.85652,0.21403,2.221e-14,0.55784,0.352
0.26331,0.32735,0.0088824,0.86248,0.1894,2.2207e-14,0.60263,0.32021
0.2621,0.34709,0.019297,0.86816,0.21924,2.221e-14,0.55061,0.31903
0.28413,0.35863,0.025477,0.85155,0.27414,2.2206e-14,0.52387,0.32996
0.25067,0.38438,0.030527,0.82676,0.27463,2.2206e-14,0.5256,0.33015
0.2662,0.34041,0.0038255,0.88474,0.27139,2.2206e-14,0.49373,0.3261
0.28317,0.35949,2.2551e-14,0.86553,0.2528,2.2206e-14,0.5131,0.30094
