iteration,aiconf_mse,aiconf_r2,aiconf_adj_r2,selfconf_mse,selfconf_r2,selfconf_adj_r2
1,0.0012787646497074826,0.8459472683625988,0.8342258648684487,0.001276736834321446,0.5629782830793407,0.5297266307049429
2,0.0010937757592241531,0.8167183053288367,0.8027729589951613,0.0006809913832985375,0.6908333705776459,0.6673098226868146
3,0.001139097725146948,0.836799155164172,0.8243816995788373,0.0010476396747477743,0.5661597255708779,0.5331501394730098
4,0.0017267430929415947,0.7598525845636872,0.7415804986065765,0.0006472212935706832,0.7265932946409247,0.7057906105375169
5,0.0012746352456704574,0.8400225824861276,0.8278503876752895,0.0011488916902005516,0.5842263870230598,0.5525914382095971
6,0.0018407108275403567,0.7595958762258184,0.7413042581125655,0.0008786059265927149,0.6861508771584708,0.6622710525944413
7,0.0016337389287288241,0.7906782489905817,0.7747515940224737,0.0010283119029930539,0.588058407615978,0.556715025586759
8,0.0010940177614199784,0.8400634351558722,0.8278943487003408,0.0007020236444054654,0.6676017165837331,0.6423105428455389
9,0.0018887327936397524,0.7474931495321699,0.7282806717791829,0.0007863701964835686,0.7051620444302733,0.6827287217238811
10,0.0011932258051725912,0.8228076544481358,0.8093256281561461,0.0006485673086174134,0.7096796090535631,0.6875900140902473
11,0.0015101142392272171,0.746724911668674,0.7274539810347688,0.0009115325033893373,0.6861598978146501,0.6622807596048952
12,0.0016434709730782087,0.7590950839947475,0.7407653621247826,0.0007529169735172391,0.655282434270742,0.6290539238348202
13,0.0012565330392723042,0.7806052880648348,0.7639122121567243,0.0007141251176637271,0.6923778783784995,0.6689718473855593
14,0.001606311340768107,0.7338559868621802,0.7136058989060419,0.0009694828872519407,0.6601067890741256,0.6342453491123743
15,0.0013287888636030292,0.8085238414857535,0.7939550033379305,0.0007303835989939002,0.7022940688682999,0.6796425306300184
16,0.0010801018058009162,0.8690599695576859,0.8590971411544664,0.0008850674466513189,0.6669124324848273,0.6415688132173686
17,0.0020184784552678627,0.7333758183126898,0.7130891957930032,0.000753835329876956,0.6701260546483434,0.6450269501107174
18,0.0009580409898893831,0.8755454194460341,0.8660760491864933,0.0008489509232080862,0.6493963098332234,0.6227199421031425
19,0.001529881523084944,0.7819133660928496,0.7653198178607837,0.0010533152139043528,0.6275284701349659,0.5991882450365396
20,0.0016839631745358358,0.7639627627088427,0.746003407697559,0.0007955845220531047,0.7159399120068786,0.6943266444421845
21,0.0013810076360651982,0.8069556932418589,0.792267539466783,0.0007785141598062404,0.687652934359144,0.6638873967560355
22,0.0014654031220071686,0.786122818584976,0.769849554781659,0.0008968829529667556,0.6726568032474949,0.6477502556685
23,0.0018255002399604043,0.7669585487824345,0.7492271340158807,0.0007314012826530523,0.6993004271208592,0.6764211117930985
24,0.001519531237686667,0.7829203712949301,0.7664034430238922,0.0009120253567008452,0.6510750961938037,0.6245264622085497
25,0.0014632574889912261,0.794732879342771,0.7791147288579818,0.0008765994564494874,0.6438650171799385,0.6167677902262383
26,0.0012960585943133523,0.8144028465405184,0.8002813239946883,0.0006727206386348754,0.6958529937079203,0.6727113736639578
