alpha_fast,alpha_slow,alpha_a,omega1,omega2,omega3,omega4,gamma_res,beta
0.27936771684862255,0.6241229516892358,0.0970377087612811,0.885434965009164,0.2899074661518523,9.000000008513005e-09,0.5043926989707413,0.04646121928424606,1.2690851548706838e-11
0.22903820106145767,0.5578198118393104,0.08445945948943423,0.860874855104107,0.1874982058504773,0.0009999999999999998,0.541396509709554,0.19460644789456852,4.933505614926108e-10
0.2540884095316613,0.6203133237259891,0.09403950547947154,0.8684074347656309,0.21760729556943476,0.0009999999999995783,0.5330639092804987,0.10895785062989537,2.397453578351324e-11
0.26594175027163514,0.5928516217424177,0.09583857156544127,0.8405860982599169,0.24655130797791722,9.000000000000001e-09,0.5564165269693712,0.16197148055107236,4.401257288390545e-11
0.26502275342767745,0.4478664783117721,0.07373230961678405,0.8269159327113945,0.22031657055375592,0.0009999999999999996,0.5417816039532429,0.12707183704787223,2.2432912507512835e-17
0.2504086343667516,0.5902110409914725,0.08298968191316553,0.839161483454162,0.15348483332855767,9.000000000001116e-09,0.5894074888965659,0.19179393444410536,1.3875543623610214e-09
0.23929906900603376,0.4999616784278858,0.08494080232614092,0.8366106298839645,0.07057692266315387,9.000000001430491e-09,0.616792282174147,0.2067752930310701,1.0268134439584821e-13
0.24673491027134395,0.5463644443337925,0.07235906878983088,0.8962926604975541,0.12684243708909906,0.0009999999999999953,0.5620543622716945,0.04732585568578507,1.0248941866720052e-14
0.2650580040527199,0.5354585912458254,0.08223916585085814,0.8297281709606895,0.2533854358215373,9.000000000001255e-09,0.5515116728587321,0.20179276305929672,9.501674128647586e-10
0.22968431942242198,0.5155931033173535,0.07052691408653047,0.8388106591107618,0.1675631248164927,9.000005788303148e-09,0.5764602629097214,0.16113076219653802,2.97324361578943e-11
0.2339145395157839,0.5658630238431902,0.09746442404290588,0.8363147167626538,0.23914881618787323,0.0009999999999999894,0.6161294889875524,0.14247065463737404,6.6443182014336516e-09
0.2427135300888835,0.621162296412135,0.09938664696696381,0.8316574165870516,0.19819537003549748,9.000000000000001e-09,0.6012761938045937,0.1579810286497127,2.9298056161757478e-08
0.2277901021208664,0.4965881229849114,0.07319508912293723,0.8491080452393188,0.15339335781198746,9.000000122376076e-09,0.5796971839396585,0.16471617949701714,1.6121406376125476e-11
0.21261438071616207,0.6642588640483773,0.07058087735577383,0.8499077939560628,0.16528459930455158,9.000000000000014e-09,0.5785986783275974,0.17517767022651715,0.021563596749471503
0.24232613698569375,0.4418286304137342,0.07132752566288751,0.8397455024383975,0.16966416211852117,9.000000000000036e-09,0.5482753264931227,0.15498315950448138,2.095929783207137e-19
0.2759868699657105,0.44864284276637834,0.083177590041475,0.8171325851555916,0.21760690909893138,0.0009999999999994462,0.6056051675773079,0.11373747974031799,3.9825531231546585e-20
0.25334117601677986,0.5976366233670419,0.08907016306105597,0.8278706694045969,0.19042929338317094,9.000000000000003e-09,0.5765612533325422,0.25488378304351733,4.824216722670306e-11
0.25585087484827723,0.6181332784279837,0.09144648091162114,0.8521236900316883,0.22248939062612924,9.000014455219429e-09,0.508283171855413,0.08285989638569613,1.1718693770296181e-09
0.230107640077932,0.5161114665006565,0.0857278656174625,0.7617109468090983,0.1622961607021048,9.0000000000251e-09,0.633395712575303,0.3320856258814094,1.168144677888699e-12
0.25870171117919577,0.5787060901601211,0.10518354283123474,0.8276188221848361,0.235656875780575,0.0009999999999999961,0.5744749392328383,0.18885253878970457,7.924308228795078e-10
0.24339031585969378,0.49520262158435296,0.07874859871222509,0.8404782312400594,0.18778732615299865,9.000000000053821e-09,0.5978522864470552,0.09500862264701615,3.2925061754538934e-16
0.23724012253144067,0.45540273665826125,0.0674335463427714,0.7762154534415492,0.21342799704473966,9.000000006454859e-09,0.5869383947920596,0.24333042575655284,3.429078164036522e-10
0.260246477338076,0.5157428029208292,0.07758632554260451,0.8735589139289766,0.1479396558787386,9.000000000566931e-09,0.5443025601611308,0.18367152081885002,1.995580485333284e-12
0.25395048157408046,0.4685857559504582,0.07491881993252648,0.8633711420865139,0.1800699819258994,9.000000005002978e-09,0.5796993971112426,0.1156507925931651,3.0325777590713843e-14
0.26785869896811443,0.599687046620988,0.11464654708617539,0.8449859868171362,0.25073447750475275,0.0009999999999999998,0.5404370076984871,0.14387329968656862,0.0021577288651161972
0.2525667620894677,0.48796348670773726,0.09424228681623265,0.767445500380215,0.24222992564823445,0.000999999999999999,0.6339280254667534,0.26284745758547107,4.3423167288154224e-12
0.23844984706877065,0.5252942536522167,0.07884289863979757,0.8329575657608314,0.14452731442853026,9.00000000184919e-09,0.5846663495376594,0.24015682450351336,4.964216985432625e-12
0.2625860070343316,0.5956342461552667,0.09301647719312806,0.8170225069898499,0.22119190827894028,9.000000000022171e-09,0.5396975969289526,0.3027059549701894,6.498615916871043e-10
0.25660100575517053,0.5234344797494147,0.08810616259471482,0.8283040259863942,0.24020644136695282,0.0009999999999999961,0.5389523372047601,0.12593867954066415,8.43379033772406e-12
0.23720529092461756,0.5295631325988363,0.08701644145048686,0.8199589376091496,0.12315457085171967,9.000000000000208e-09,0.6013899738909712,0.2113347970884118,3.3448105335124635e-11
0.24029130187630146,0.5863107732766433,0.09779623378292022,0.8593734745625483,0.12948782545863458,9.000000000000665e-09,0.5578117492743716,0.1757737763018945,0.0089345952804016
0.2344107686345062,0.6033560010644311,0.09729677965770084,0.8797056657851102,0.1801582470657087,0.0009999999999999998,0.594690331507563,0.12930027169555647,6.29769637295978e-10
0.24978712776376738,0.4976956615749247,0.08328636882648452,0.8576585298197779,0.1464692350156161,9.000000000466313e-09,0.6012929687390369,0.20510015677775384,1.1289738034986907e-11
0.24579611173364999,0.5345004092488341,0.0815688608551512,0.8274470289159721,0.17023067626652488,0.0009999999999999996,0.5904046384102644,0.28621312522941833,3.0270061890622204e-11
0.24227629372193935,0.4694956988256129,0.07951300191361438,0.8136619514655833,0.15872152202291165,0.0009999999999999998,0.5948524816382179,0.1783203892730884,1.1793538776698793e-12
0.23664096350386787,0.5904327099585794,0.09465393208160429,0.848028796456466,0.16350857128102117,0.0009999999999999998,0.5992025476642864,0.17427728117077054,1.4464108285491883e-08
0.2413266212653235,0.5281108364466102,0.07956661616454908,0.8620925406115587,0.13501719014219116,0.0009999999943579663,0.572230059779834,0.18636981415603024,1.7431512333838933e-12
0.23804555827393964,0.4270675517207254,0.056050779822800816,0.8878648373185609,0.10102494040772853,0.0009999999992418088,0.5656926601352085,0.09398100280321466,1.4233141892119657e-15
0.2656524516613751,0.5010017055284032,0.09243198913901009,0.8207651882472343,0.19278535308868414,9.000002483214132e-09,0.5981474799804734,0.138669788796463,1.3086608367290226e-10
0.2113544107738299,0.600964293733763,0.07966996466172666,0.8279145371911635,0.1331305093758077,9.000000000000001e-09,0.5912815710705464,0.19313389151267862,0.01778509200181225
0.24329839713228862,0.566265237671856,0.07305698019630315,0.8121711238533118,0.10473691588995344,9.000000279427343e-09,0.5759031727052387,0.161164719367713,2.0533038687253147e-09
0.23292052169948274,0.4862624679705773,0.09197967016019952,0.8093701136321613,0.16476857495266614,0.0009999999999999998,0.6236224264671019,0.3194343662786109,7.929341464701066e-12
0.2529747622022781,0.5313745731922416,0.07308656143236933,0.8289164497619077,0.20625259367275098,9.000000000619576e-09,0.555927684929067,0.07040992568875043,3.4824973094240827e-13
0.2447577170501158,0.5169040432192841,0.08524387259391851,0.8900672729816905,0.1534335089737656,0.0009999999999999996,0.5598102903630572,0.17628880039626052,3.345702611503563e-13
0.25233327196383115,0.5728755252522841,0.09139117350084959,0.836838633171305,0.1874801797348841,0.0009999999999999998,0.5543148775866944,0.19856032906719537,1.2063250163561586e-13
0.27486373181480334,0.5695028533647802,0.10308862023809902,0.8328231257951725,0.3118113759466178,9.000000000071094e-09,0.5316604123951154,0.18543212878849186,4.023712705698867e-11
0.24462487490770704,0.5621918850985216,0.0941760016623435,0.8362994353293972,0.22440370027643006,9.000000000083047e-09,0.5915359658064102,0.19495456194494087,5.164875440636045e-10
0.22503851397403993,0.5055138583933295,0.08936256678260171,0.8583045459945899,0.1374283540738675,9.000000001454011e-09,0.6246250766188172,0.14683900301309213,1.199164491720793e-10
0.2597348346951572,0.46233453712560635,0.07268652103386826,0.8963112439180624,0.1785885008624917,0.0009999999999999998,0.5509821139994063,0.09831758731233937,1.3414773130976591e-17
0.25202203404131646,0.45035597419546475,0.06553774611216379,0.8445427269992577,0.17188310195817977,9.009461129629657e-09,0.5613281574500785,0.05221110345982736,1.2517967337438518e-19
0.253754649510049,0.5447486089349318,0.08495321361012977,0.8622004099197634,0.20583726089715768,0.0009999999999999963,0.5801958884838179,0.10552899158891106,1.502394463708889e-12
0.24970487043864822,0.5670523952513152,0.10191187901281352,0.8301839215795271,0.183301573470656,9.000000000000001e-09,0.5875398238041757,0.14890905993904233,1.402462559428558e-11
0.2578319078280906,0.5472645312084894,0.08440794937650656,0.8212667744633084,0.19699626724349883,1.1470949368664934e-08,0.5434397035461991,0.22287389316179776,3.547362697090025e-10
0.23942271288575848,0.48487875569525024,0.07403978885847556,0.8777990716175456,0.19876741685563562,9.000000000000001e-09,0.5853507376789487,0.043377815494045034,4.262281718040092e-22
0.24157940161886696,0.5143921081029909,0.08274311298505807,0.8653763304815608,0.16326130715557421,9.0000007466275e-09,0.5952422982390678,0.05794176048505398,3.9976971082171906e-13
0.2717496205188344,0.5413342859252626,0.09452512340342972,0.8300297640395096,0.2059177008757304,9.000000000215763e-09,0.5595783247971822,0.21710292409373064,4.714383423517901e-12
0.27803027545409126,0.5478140413130662,0.09908354143678738,0.836836826918294,0.2553248969207301,9.000000002249785e-09,0.5427857809027521,0.16484334152653302,1.8067553364722335e-11
0.2401950354521181,0.6290328095757176,0.09550868040792129,0.8313957091821371,0.16085059660613926,9.000000000000185e-09,0.5700808645668363,0.19207120061714789,0.013157828943522147
0.24620906340638188,0.5488328677631721,0.07692012661854875,0.8162071579612448,0.18007677058280946,9.000000000043058e-09,0.5596035038390644,0.18026555013015386,1.7483225687422678e-12
0.24600065671003513,0.42541205023059275,0.06887675418783762,0.8410886258721172,0.10296273942197746,0.0009999999999283848,0.5884277690431025,0.18067638900645935,1.9082065279625878e-17
0.2577814312967904,0.4771623498241028,0.08483147321098622,0.8365249232372789,0.20149748460200875,9.000000029722086e-09,0.5318324443455323,0.20686345961679578,6.6885628453709236e-12
0.24995637792607298,0.4449156152090835,0.06247544388701712,0.8732015639319982,0.15606132489198837,0.0009999999999999998,0.5594007969737013,0.06724664393459985,2.1510918143292216e-20
0.26386259649364685,0.48941885173660493,0.07495175998813337,0.8080004865533389,0.1924208275779269,9.000000000015115e-09,0.5419657002951168,0.21173149931158655,2.3295620215660453e-14
0.2515132571709962,0.5553150984820715,0.09510275176082085,0.8469119021270768,0.203817178802882,9.000003838158658e-09,0.5537740318856358,0.1380578107502382,3.2429896483554513e-09
0.24683419256017963,0.5240285943897548,0.08074736166472624,0.8458139109743139,0.17300978403016679,0.0009999999999902207,0.5995388727819875,0.23283591594596095,1.625295347788619e-11
