Model,C_AI_MSE_mean,C_AI_MSE_std,C_AI_adj_R2_mean,C_AI_adj_R2_std,C_self_MSE_mean,C_self_MSE_std,C_self_adj_R2_mean,C_self_adj_R2_std
ORIG-BASE,0.0016703070488670257,0.00029301539878887203,0.7479295901914839,0.05101460946159161,0.0013239788514765372,0.00017312326147585685,0.44033150430368223,0.050977044734059444
PHYS-BASE,0.0016703060602484686,0.0002930106628933199,0.7479297433819977,0.051014012573005064,0.0013239988906729849,0.00017313018588154387,0.4403228318313744,0.05098264547347247
MOD,0.0015916624282350088,0.0003072685849487829,0.7600117560791798,0.05113459099963385,0.001311976560553913,0.00016801443736324533,0.4453666100973724,0.04892817724980351
MOD+A,0.001591647911050339,0.00030726656295193365,0.7600138601454485,0.051134679018886534,0.001311977292386412,0.0001680186042402986,0.4453663701515569,0.048929661224799345
MOD+A+ASYM,0.0015916624282350088,0.0003072685849487829,0.7600117560791798,0.05113459099963385,0.001312012767244188,0.00016801702824215,0.44535098260238726,0.04893186845405727
MOD+A+ALIGN,0.0015597820681507591,0.0002559051084276309,0.7648692828914839,0.044181443448297934,0.001109081781908808,0.00016473862051497045,0.5312037721712062,0.05419966610010191
PHYS-FULL,0.001402779686029444,0.0002686101925454415,0.7883988324750963,0.04518072844471752,0.000823975015245625,0.00012640245209010224,0.6511625365730977,0.04638231901596567
