model,mse,r2,alpha_fast,alpha_slow,alpha_a,omega1,omega2,omega3,omega4,gamma_res,beta
aiconf,0.001189367733048039,0.8324653928347948,0.25202620208089316,0.5297703615005351,0.08446973735545882,0.8391080678164693,0.19154864744671626,4.235691062807731e-25,0.5688450648731933,0.165821408122145,4.0537841913216103e-26
selfconf,0.0006853466399134194,0.7197837652543715,0.6651141038403775,0.3504797184456679,0.028660916737921417,0.26350946491214866,0.4115212171593005,0.1560495319324237,0.18131393123817674,0.6746770575570555,1.2113569398793671e-22
