parameter,vif
alpha_fast,22.107110009839424
alpha_slow,29.187964819260973
alpha_a,1.76634926444924
omega1,11.646740103373407
omega2,4.889427823477152
omega3,5.376117955375554
omega4,2.7723987109219825
gamma_res,7.614537165949044
beta,1.0829093220928492
