Model,C_AI_MSE,C_AI_adj_R2,C_self_MSE,C_self_adj_R2
ORIG-BASE,0.0014646418329366247,0.7779927378478867,0.00118645262299396,0.47798765540554056
PHYS-BASE,0.0014646410927011,0.777992850051196,0.0011864654361358,0.47798201791263273
MOD,0.0013499959663126,0.7953705119861595,0.0011730481605515,0.48388531598798545
MOD+A,0.0013500026612748,0.795369497178183,0.0011730413569418,0.4838883094225447
MOD+A+ASYM,0.0013499959663126,0.7953705119861595,0.0011730871993194,0.4838681398122514
MOD+A+ALIGN,0.0013335371842704,0.7978652988052948,0.00097276785309,0.5720041256630699
PHYS-FULL,0.001189367733048,0.8197181944635292,0.0006853466399134,0.6984629647845955
