alpha_fast,alpha_slow,alpha_a,omega1,omega2,omega3,omega4,gamma_res,beta
0.6559967814890271,0.3365149758554284,0.034656033052214694,0.2765403047278577,0.4392614077742948,0.16826091027852352,0.165269441142647,0.6633255295765941,7.356918213371141e-15
0.5342403101889961,0.2894574507472525,0.030784706480940487,0.27096855658667,0.4297261390477195,0.1440074641510765,0.14058225792865364,0.7338834924183256,2.0561163113248507e-19
0.5482259356140594,0.27578064060411,0.033871784421735975,0.26489225626356744,0.44635004031849757,0.1470779923552996,0.16510019230426415,0.8773875140549627,9.25855084948407e-15
0.6177274281128635,0.3483626846918852,0.0294054594455426,0.2423531640422952,0.40225881178769785,0.1479560197473739,0.171393485687762,0.8086316800962204,1.5204807737229063e-14
0.6754256966480909,0.35198112088124855,0.03362199872480815,0.2673296852608778,0.42017678043719414,0.1600947831092647,0.17679497838292663,0.64369857580015,1.4837536777250695e-14
0.6388790225030236,0.31139699378153896,0.05424258712917747,0.2816634032879833,0.45202061779564634,0.18420600949279956,0.2086335596245891,0.8648415328565885,2.460548791222842e-16
0.7241921555032195,0.39613039807225253,0.025512129948109138,0.25539251652081796,0.39258254672862414,0.14986572418998542,0.18797422278068449,0.6459570236965877,8.913262728377256e-12
0.7061704936540385,0.33505258220768996,0.01674030268771039,0.3019864405095091,0.42814601879128983,0.1812459903169936,0.2021748913351221,0.45345141947775064,2.0582077130418335e-13
0.7452509485755964,0.3864385574136764,0.03256200959471744,0.2540761278207131,0.3858467252514426,0.17354847751305624,0.19769948427404607,0.6797309603991858,2.9775381128885876e-09
0.5892061482638176,0.3053188775256019,0.020326383326021883,0.2526951068483918,0.40320557771546334,0.13582963193212189,0.16528488682192402,0.8349558755076381,3.3741399485125523e-15
0.7459818291655067,0.3876156838177021,0.03992173498294365,0.2675144814191999,0.4163843258579388,0.1842519428790086,0.20920905228423048,0.5596362857610796,2.125275368590456e-13
0.6920740595891461,0.36396512378832463,0.027567475575181372,0.2707104265414262,0.3990930570516164,0.16449201741435793,0.18398449549192014,0.5472264129788031,1.745463599794279e-11
0.6115580030027391,0.3441001634149203,0.028057739471530955,0.24385137793299722,0.3998440275749824,0.13978742294445975,0.1634918564218769,0.7447068000452322,7.160198389286316e-18
0.6725291257776662,0.3952919702112203,0.023088355499539037,0.216406728232453,0.3546681027306399,0.13252202347217054,0.16054802791696693,0.8327279030167752,3.351940329169692e-11
0.703389034847534,0.4062059769262001,0.027602690912789832,0.2606765576658041,0.3970370146489397,0.15940657557330004,0.1647437071683667,0.5545259901815406,4.3909487025056207e-11
0.7482654853808504,0.39951226512508353,0.02659008991459767,0.27167605077930046,0.3824932437184191,0.16480709582768438,0.19144304977340057,0.5288929461241421,7.332343177371852e-13
0.5735953148616987,0.3047790325595932,0.027038934303554543,0.2589793728884565,0.41411483333255866,0.13776726587422064,0.17821753113948527,0.8857053648859367,1.315289579799755e-12
0.5701641272660731,0.30270993637834326,0.0307780116226376,0.2754355923080905,0.4223402109285008,0.14044871994449082,0.14956312487722595,0.6229390394226236,1.6867109828932885e-15
0.6362546193738084,0.35317819209046064,0.029479009366886286,0.24083677875086565,0.4065387113543109,0.13216380688856294,0.17728923086883192,0.8090312923987703,5.168066686854076e-14
0.6541449172064191,0.3653460713305763,0.029279622602049624,0.24748282519537784,0.3990667253372665,0.13845019959016427,0.15545720808144245,0.7980030774966703,1.0021623045169174e-15
0.6771678812751672,0.3573299789959595,0.026416185653557717,0.2836445648897072,0.395661182929738,0.16822342456079623,0.1727849244466669,0.46276422343112544,3.280531126250758e-12
0.568217404655648,0.3073862099826382,0.026111888770798227,0.24449738018054393,0.3994452128605047,0.13104968168338837,0.16029827217922862,0.8224450132456024,1.3408831728310396e-17
0.6162236280774875,0.30608901264839483,0.028753422642772704,0.28912205646017236,0.4504964883762955,0.17804594431386547,0.19973036767444588,0.6253063669484932,5.607723469462535e-15
0.6984585398437222,0.39313774644558247,0.01876106426957146,0.23919588734511632,0.3841051371046408,0.15013687902963724,0.16660794959385955,0.7051616887969289,5.5557370576376795e-12
0.6801344447483255,0.34061110727144345,0.04062363040887408,0.27487191442161407,0.42527119462331947,0.16239092525014823,0.18405157389483315,0.6497006983161868,1.142784769342089e-13
0.7430857436042932,0.4055724627332674,0.024969043483946428,0.24336675021327228,0.3557136725207709,0.15920163225169923,0.18073135978486474,0.5819034918748056,4.963972635218404e-12
0.601326588525333,0.3103751481448367,0.03639314243017475,0.2614703280701098,0.46382419292080745,0.16260174099537386,0.17885201821150545,0.8960498154046028,2.1852626853261654e-11
0.6957671743079814,0.35543011199531444,0.02697297100075806,0.25868197431759427,0.41148752001185074,0.1702671889173267,0.20548845979264824,0.6422254758186454,5.649136329205399e-16
0.5772266018454751,0.3069808928336526,0.02738228362590548,0.25902215273392826,0.42186313829737804,0.13883772635537822,0.1605305232855022,0.7727814345262428,1.0676319598130382e-13
0.6900285623004054,0.4148334699702815,0.023751421768601705,0.23926274133723302,0.3604344002279734,0.12380563748851625,0.16087752227952754,0.6893095983766707,7.0926950062238715e-15
0.6747588524080831,0.35994284528607917,0.026466129862033654,0.2706672307398873,0.4089227001712095,0.1543370042909486,0.17238004319114558,0.586403266340991,3.767225757642457e-14
0.6346543339469338,0.3316812638197175,0.03059241482414885,0.2609671906032827,0.4230566217700283,0.16640530555411245,0.19540209004147235,0.6817643181597968,4.1021490653071345e-14
0.5873442806778677,0.300454645079624,0.037437391208796016,0.28036357237192766,0.4562398864285813,0.15191837215863024,0.19493150924169234,0.8380670333842254,2.601061089655917e-13
0.7130586200646704,0.3848355159931575,0.022371108289379077,0.2507443429908088,0.3922476779209898,0.15637918044231253,0.16009340409465647,0.6456683602136709,1.916073035172165e-12
0.650131985727066,0.34871386491156364,0.020314414735095168,0.2394796721431648,0.4004100801800322,0.1374518606795574,0.1714809740128542,0.808771164517892,6.30991058137532e-16
0.7191330127993009,0.37746329819248925,0.028074511667877,0.26502449272356415,0.3848106018469317,0.17999287232180275,0.1936099329972406,0.5377136073557919,9.216366795715984e-12
0.6565950371937898,0.312025797136529,0.033730462455942696,0.29686309125194726,0.4247630630759347,0.18577077079916018,0.19667089673046995,0.6487467602580285,1.594923670607313e-14
0.6801651246182647,0.3242269475927408,0.02198968241849663,0.302938428183263,0.4394117204002779,0.17670949402404926,0.1928257106782542,0.5091552458691341,1.9457321188303583e-13
0.6616873037973542,0.35564219372532446,0.03731445865606734,0.27036495123290544,0.4459895699431709,0.1572334102232789,0.15740212379680396,0.7012438744769909,1.6494671644950928e-16
0.6964860957316108,0.3954177348944461,0.03186741803481581,0.25960398716686206,0.3653838047022749,0.17307453582744384,0.1730227297443971,0.5327245849250861,8.015416169578467e-13
0.7008571299395137,0.37966945833136556,0.027788736448281934,0.26034765151434947,0.39281222983954084,0.15787176660715063,0.19451581717204813,0.6362120661556178,4.729059743882748e-13
