model,metric,mean,std,q25,q75,min,max
aiconf,mse,0.0014027796860294872,0.0002686101925454424,0.0011901934889290851,0.0015902363466752457,0.0008801373743081459,0.002115201580540588
aiconf,r2,0.8033605311889783,0.04198613148397993,0.7736592323402102,0.8336514052678704,0.7086687890681214,0.8952139157405271
aiconf,adj_r2,0.7883988324750963,0.04518072844471752,0.7564376521921827,0.8209944469730345,0.6865022838885219,0.8872410615033933
selfconf,mse,0.0008239750152456695,0.00012640245209010365,0.0007437229479773193,0.0008970501167382191,0.0005862072398791316,0.001276736834321446
selfconf,r2,0.6758278117648989,0.043102761105745874,0.6527487795293246,0.7049577828420615,0.5549341985355032,0.76007750934742
selfconf,adj_r2,0.6511625365730977,0.04638231901596567,0.6263274910152515,0.6825089184930879,0.5210704962501611,0.7418225372325498
