iteration,aiconf_mse,aiconf_r2,aiconf_adj_r2,selfconf_mse,selfconf_r2,selfconf_adj_r2
1,0.001384185441276716,0.8332472293708011,0.8205595185620578,0.0018003182008539753,0.38375855541218895,0.33687061941094254
2,0.0014441944443738981,0.7579993861015145,0.7395862959135864,0.0010693335036754826,0.5145280202248699,0.477589934807197
3,0.0013931132260699053,0.8004058383864787,0.7852193260897978,0.0013161469016940161,0.45496763173135646,0.4134977776239597
4,0.001788227121650838,0.7513016712022887,0.7323789722720282,0.0012850105326556013,0.45717098684005286,0.4158687793170135
5,0.0015648185041265798,0.803602148914049,0.7886588341575093,0.0016726614341037054,0.3946788076924035,0.3486217604516082
6,0.002134746285654845,0.7211936809385721,0.6999801566621591,0.001721449810703874,0.3850764071210544,0.33828874244548257
7,0.0018923564924589042,0.7575430397292764,0.7390952275347649,0.0013582863836329314,0.4558706807159618,0.41446953685739374
8,0.001240429250578535,0.8186592574034568,0.8048615922058938,0.0010508986236657093,0.5024143398377541,0.46455456134714856
9,0.002215041112565105,0.70386861663331,0.6813368809423663,0.0015666783991570901,0.41259694440571226,0.36790323365397304
10,0.001505037195289369,0.7765041037328646,0.7594989811908,0.0009705622928982207,0.5655438987315675,0.532487456243752
11,0.001823489512483421,0.6941658747739321,0.6708958869849921,0.0016421529779908732,0.4346077002187777,0.3915887208875978
12,0.0018124349692351014,0.7343278334811292,0.7141136468981716,0.0011873020883514831,0.456402365628942,0.4150416760572311
13,0.0014609081122501117,0.74492074268379,0.7255125383227742,0.001098738008474508,0.526699021063885,0.4906869900578763
14,0.0018340979658679596,0.6961148310821272,0.6729931334470718,0.0016572830423436707,0.4189693680185538,0.374760515585183
15,0.0017219978400245977,0.7518631135395766,0.7329831330480225,0.0014213871330811328,0.4206395371754913,0.3765577628301483
16,0.0013753557919623295,0.8332665233023837,0.8205802805101738,0.0014047215735473488,0.4713450441101761,0.43112129746638517
17,0.002195030485564105,0.7100547665174047,0.6879937161437291,0.0011222410478987977,0.5089138603169753,0.4715486105584843
18,0.0010823383008327382,0.8593985427876281,0.8487006058258172,0.0010879269567205623,0.5507028790112432,0.5165172285012292
19,0.0019558120102079663,0.7211964119931722,0.699983095514392,0.0014957433728986773,0.471077778964231,0.43083369692890083
20,0.0018043160276949679,0.7470931806482848,0.7278502704802194,0.0013688452377984526,0.5112595985470425,0.474072828871274
21,0.0016066306304907839,0.7754169577489243,0.7583291175776469,0.0012405903027179284,0.5022637214294375,0.46439248284254697
22,0.0018274340294809545,0.7332840134038049,0.7129904057280074,0.0011840302627011752,0.567854144220001,0.5349734812802185
