parameter,vif
alpha_fast,2.8428357704021385
alpha_slow,2.8259268295459705
alpha_a,3.1003107089984097
omega1,2.7760246139168965
omega2,2.69341310462366
omega3,1.369025875790269
omega4,2.4450398129176985
gamma_res,2.1954795310754056
beta,1.4676728899432017
